code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,ass_8_date,ass_8_score,ass_9_date,ass_9_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucontent,clicks_quiz,clicks_resource,clicks_subpage
2013J,601997,F,North Western Region,HE Qualification,50-60%,35-55,0,30,N,Withdrawn,-63.0,170.0,54.0,84.0,120.0,84.0,,,89.0,100.0,,,,,,,,,,,0.0,0.0,20.0,25.0,20.0,10.0,8.0
2013J,602004,F,South Region,Lower Than A Level,40-50%,0-35,0,90,Y,Withdrawn,-60.0,-42.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013J,602023,F,South West Region,A Level or Equivalent,40-50%,35-55,0,30,N,Fail,-25.0,,58.0,52.0,142.0,70.0,,,,,,,,,,,,,,,15.0,2.0,38.0,67.0,0.0,11.0,11.0
2013J,602026,F,London Region,Lower Than A Level,0-10%,0-35,0,30,N,Fail,-22.0,,,,,,,,,,,,,,,,,,,,114.0,5.0,42.0,32.0,1.0,4.0,12.0
2013J,602072,F,South Region,A Level or Equivalent,70-80%,35-55,0,30,Y,Pass,-59.0,,58.0,70.0,124.0,80.0,181.0,80.0,98.0,100.0,154.0,80.0,210.0,100.0,210.0,100.0,223.0,100.0,223.0,80.0,20.0,0.0,101.0,83.0,108.0,11.0,14.0
2013J,602168,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,30,N,Fail,-42.0,,53.0,86.0,107.0,67.0,,,94.0,100.0,,,,,,,,,,,9.0,6.0,122.0,303.0,21.0,48.0,72.0
2013J,602175,F,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,90,N,Fail,-42.0,,52.0,54.0,,,,,,,,,,,,,,,,,34.0,0.0,30.0,4.0,1.0,9.0,6.0
2013J,602401,M,North Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,-31.0,,53.0,55.0,121.0,60.0,170.0,70.0,104.0,80.0,146.0,80.0,150.0,100.0,200.0,60.0,201.0,80.0,213.0,80.0,196.0,1.0,168.0,278.0,97.0,20.0,6.0
2013J,602470,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,30,N,Pass,-22.0,,59.0,79.0,123.0,90.0,172.0,90.0,108.0,100.0,151.0,80.0,167.0,100.0,214.0,100.0,214.0,100.0,214.0,100.0,123.0,2.0,135.0,304.0,102.0,25.0,11.0
2013J,602531,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,30,N,Fail,-22.0,,44.0,82.0,,,,,,,,,,,,,,,,,88.0,0.0,45.0,38.0,0.0,7.0,13.0
2013J,602573,M,South West Region,Lower Than A Level,50-60%,0-35,0,30,N,Distinction,-28.0,,,,123.0,45.0,172.0,60.0,132.0,100.0,140.0,100.0,153.0,80.0,185.0,100.0,208.0,80.0,223.0,100.0,5.0,10.0,108.0,374.0,196.0,14.0,14.0
2013J,602604,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,30,N,Distinction,-29.0,,60.0,90.0,124.0,90.0,173.0,90.0,108.0,100.0,154.0,100.0,173.0,100.0,223.0,100.0,224.0,60.0,228.0,100.0,43.0,0.0,129.0,278.0,125.0,4.0,15.0
2013J,602607,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,30,Y,Fail,-24.0,,46.0,40.0,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2013J,602655,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,60,N,Withdrawn,-60.0,5.0,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,2.0,0.0,2.0,4.0
2013J,602711,F,South East Region,A Level or Equivalent,80-90%,35-55,0,30,N,Distinction,-29.0,,60.0,85.0,123.0,87.0,171.0,84.0,89.0,100.0,138.0,100.0,152.0,100.0,185.0,100.0,208.0,100.0,,,302.0,1.0,133.0,281.0,91.0,29.0,22.0
2013J,602768,F,London Region,Lower Than A Level,0-10%,0-35,0,30,N,Fail,-29.0,,,,124.0,60.0,174.0,50.0,,,,,,,,,,,,,45.0,1.0,78.0,154.0,3.0,22.0,23.0
2013J,602780,M,London Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,-37.0,,61.0,80.0,124.0,60.0,173.0,70.0,129.0,100.0,136.0,100.0,207.0,52.0,223.0,100.0,203.0,100.0,231.0,100.0,12.0,3.0,59.0,49.0,176.0,75.0,9.0
2013J,602820,F,London Region,A Level or Equivalent,20-30%,0-35,0,30,N,Pass,-34.0,,61.0,51.0,124.0,60.0,173.0,60.0,130.0,100.0,158.0,100.0,207.0,80.0,207.0,100.0,203.0,80.0,,,60.0,8.0,131.0,372.0,138.0,29.0,3.0
2013J,602997,F,East Anglian Region,No Formal quals,20-30%,0-35,0,60,N,Withdrawn,-24.0,51.0,,,,,,,,,,,,,,,,,,,0.0,4.0,46.0,23.0,0.0,29.0,17.0
2013J,603044,F,London Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass,-25.0,,57.0,85.0,122.0,65.0,172.0,65.0,102.0,80.0,160.0,100.0,172.0,100.0,215.0,100.0,227.0,80.0,227.0,80.0,316.0,1.0,179.0,198.0,217.0,17.0,10.0
2013J,603058,F,South East Region,Lower Than A Level,70-80%,0-35,0,30,N,Pass,-29.0,,,,123.0,65.0,172.0,70.0,89.0,100.0,131.0,60.0,164.0,100.0,200.0,100.0,223.0,80.0,223.0,40.0,21.0,2.0,49.0,171.0,87.0,9.0,19.0
2013J,603164,F,London Region,A Level or Equivalent,60-70%,35-55,0,30,N,Pass,-42.0,,51.0,84.0,111.0,70.0,167.0,55.0,199.0,100.0,199.0,100.0,199.0,100.0,213.0,100.0,213.0,80.0,213.0,80.0,19.0,0.0,233.0,485.0,184.0,45.0,35.0
2013J,603230,F,South Region,A Level or Equivalent,10-20,0-35,0,30,N,Pass,-37.0,,54.0,45.0,124.0,80.0,172.0,85.0,90.0,100.0,153.0,100.0,152.0,100.0,,,,,230.0,80.0,159.0,2.0,55.0,73.0,73.0,9.0,11.0
2013J,603328,F,London Region,Lower Than A Level,10-20,35-55,0,30,N,Pass,-35.0,,61.0,57.0,124.0,70.0,173.0,50.0,139.0,80.0,172.0,80.0,203.0,60.0,220.0,100.0,227.0,80.0,,,40.0,0.0,81.0,235.0,187.0,6.0,5.0
2013J,603365,M,North Region,Lower Than A Level,10-20,0-35,0,30,N,Fail,-24.0,,96.0,80.0,,,,,,,,,,,,,,,,,0.0,0.0,9.0,1.0,0.0,7.0,2.0
2013J,603573,F,East Midlands Region,Lower Than A Level,90-100%,35-55,0,30,N,Fail,-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013J,603579,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,30,N,Pass,-38.0,,51.0,71.0,121.0,74.0,171.0,78.0,87.0,100.0,129.0,80.0,149.0,80.0,185.0,100.0,199.0,100.0,227.0,100.0,88.0,1.0,129.0,51.0,181.0,16.0,12.0
2013J,603585,M,West Midlands Region,Lower Than A Level,30-40%,35-55,0,30,N,Fail,-22.0,,61.0,72.0,135.0,54.0,,,,,,,,,,,,,,,19.0,0.0,61.0,65.0,0.0,54.0,4.0
2013J,603685,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass,-58.0,,54.0,65.0,123.0,75.0,173.0,75.0,125.0,80.0,174.0,80.0,174.0,60.0,207.0,100.0,213.0,60.0,229.0,100.0,102.0,24.0,148.0,260.0,94.0,16.0,36.0
2013J,603740,F,North Western Region,Lower Than A Level,20-30%,0-35,0,30,N,Fail,-39.0,,60.0,55.0,128.0,85.0,176.0,65.0,178.0,80.0,178.0,100.0,178.0,100.0,231.0,80.0,,,,,0.0,0.0,86.0,223.0,92.0,19.0,6.0
2013J,603763,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,30,Y,Pass,-22.0,,60.0,60.0,123.0,68.0,179.0,54.0,122.0,80.0,180.0,80.0,180.0,60.0,213.0,100.0,213.0,80.0,223.0,100.0,42.0,0.0,129.0,144.0,120.0,9.0,15.0
2013J,603827,F,London Region,Lower Than A Level,10-20,0-35,0,30,N,Fail,-37.0,,,,,,,,,,,,,,,,,,,,79.0,0.0,42.0,24.0,0.0,10.0,7.0
2013J,603913,M,London Region,Lower Than A Level,30-40%,35-55,0,30,N,Pass,-31.0,,56.0,10.0,123.0,55.0,172.0,65.0,103.0,100.0,150.0,80.0,158.0,88.0,199.0,80.0,202.0,80.0,216.0,80.0,74.0,0.0,252.0,861.0,259.0,85.0,62.0
2013J,603918,F,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,-32.0,,60.0,85.0,123.0,90.0,181.0,84.0,94.0,100.0,143.0,100.0,153.0,100.0,216.0,100.0,217.0,100.0,217.0,100.0,435.0,1.0,330.0,247.0,158.0,42.0,26.0
2013J,604064,M,South East Region,A Level or Equivalent,30-40%,0-35,0,30,N,Distinction,-26.0,,60.0,85.0,130.0,90.0,173.0,70.0,129.0,100.0,173.0,100.0,179.0,100.0,208.0,100.0,213.0,100.0,222.0,100.0,323.0,22.0,88.0,190.0,131.0,7.0,11.0
2013J,604096,F,Yorkshire Region,Lower Than A Level,10-20,35-55,0,30,N,Pass,-31.0,,60.0,64.0,126.0,64.0,172.0,65.0,94.0,100.0,149.0,80.0,186.0,100.0,213.0,80.0,213.0,60.0,213.0,100.0,20.0,1.0,72.0,246.0,112.0,21.0,15.0
2013J,604110,M,South Region,A Level or Equivalent,40-50%,35-55,0,30,N,Distinction,-36.0,,58.0,55.0,120.0,80.0,172.0,90.0,108.0,100.0,147.0,100.0,164.0,100.0,193.0,100.0,207.0,100.0,214.0,100.0,374.0,4.0,312.0,309.0,113.0,17.0,21.0
2013J,604153,F,East Anglian Region,Lower Than A Level,80-90%,0-35,0,30,N,Fail,-22.0,,58.0,75.0,123.0,65.0,173.0,65.0,,,,,,,,,,,,,0.0,2.0,36.0,79.0,36.0,9.0,16.0
2013J,604213,F,South Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass,-36.0,,60.0,55.0,121.0,78.0,170.0,87.0,104.0,100.0,143.0,100.0,164.0,80.0,200.0,100.0,207.0,80.0,,,90.0,1.0,110.0,171.0,94.0,20.0,25.0
2013J,604336,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,30,N,Pass,-26.0,,56.0,60.0,117.0,68.0,170.0,65.0,101.0,100.0,139.0,100.0,157.0,100.0,199.0,100.0,,,,,63.0,0.0,100.0,161.0,93.0,9.0,6.0
2013J,604423,M,North Western Region,A Level or Equivalent,20-30%,35-55,0,30,N,Distinction,-35.0,,51.0,66.0,121.0,65.0,170.0,60.0,98.0,100.0,150.0,100.0,165.0,40.0,200.0,100.0,207.0,60.0,213.0,80.0,59.0,0.0,139.0,436.0,178.0,6.0,2.0
2013J,604471,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,30,N,Fail,-43.0,,94.0,60.0,,,,,,,,,,,,,,,,,,,,,,,
2013J,604498,F,Yorkshire Region,No Formal quals,30-40%,0-35,0,30,N,Pass,-56.0,,70.0,70.0,123.0,55.0,173.0,71.0,229.0,60.0,229.0,80.0,229.0,100.0,229.0,80.0,229.0,80.0,229.0,100.0,0.0,2.0,164.0,237.0,125.0,66.0,79.0
2013J,604534,F,North Western Region,Lower Than A Level,0-10%,35-55,0,30,N,Fail,-26.0,,64.0,15.0,125.0,7.0,,,101.0,60.0,207.0,60.0,,,,,,,,,7.0,0.0,33.0,29.0,40.0,21.0,20.0
2013J,604536,F,South West Region,Lower Than A Level,40-50%,0-35,0,30,N,Fail,-26.0,,85.0,65.0,123.0,45.0,173.0,80.0,224.0,60.0,223.0,60.0,223.0,100.0,223.0,60.0,223.0,80.0,224.0,60.0,0.0,0.0,63.0,26.0,114.0,25.0,13.0
2013J,604539,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,30,N,Distinction,-22.0,,60.0,58.0,122.0,85.0,171.0,68.0,152.0,100.0,152.0,100.0,159.0,100.0,187.0,80.0,202.0,80.0,227.0,100.0,107.0,5.0,132.0,270.0,119.0,20.0,20.0
2013J,604588,F,London Region,Lower Than A Level,30-40%,0-35,0,30,N,Withdrawn,-31.0,220.0,,,119.0,60.0,170.0,50.0,97.0,60.0,132.0,60.0,185.0,80.0,192.0,60.0,201.0,60.0,,,2.0,0.0,94.0,179.0,104.0,9.0,8.0
2013J,604721,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,-31.0,,54.0,60.0,123.0,65.0,164.0,80.0,104.0,100.0,139.0,100.0,160.0,80.0,208.0,80.0,213.0,80.0,213.0,100.0,106.0,0.0,156.0,237.0,96.0,58.0,38.0
2013J,604930,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,30,N,Distinction,-53.0,,48.0,85.0,123.0,60.0,172.0,81.0,87.0,80.0,135.0,100.0,151.0,100.0,187.0,100.0,199.0,80.0,213.0,100.0,175.0,24.0,255.0,278.0,184.0,63.0,33.0
2013J,604980,M,South Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,-29.0,,56.0,55.0,121.0,75.0,170.0,80.0,94.0,100.0,145.0,80.0,224.0,80.0,224.0,100.0,224.0,80.0,224.0,100.0,2.0,0.0,75.0,120.0,85.0,7.0,13.0
2013J,605027,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,30,N,Pass,-26.0,,59.0,68.0,122.0,70.0,172.0,72.0,95.0,100.0,165.0,100.0,179.0,100.0,193.0,100.0,,,,,340.0,0.0,180.0,324.0,113.0,14.0,11.0
2013J,605072,F,North Region,A Level or Equivalent,0-10%,35-55,0,30,N,Pass,-37.0,,56.0,85.0,116.0,80.0,172.0,79.0,101.0,100.0,157.0,80.0,157.0,80.0,185.0,100.0,207.0,80.0,227.0,100.0,95.0,0.0,285.0,402.0,102.0,22.0,41.0
2013J,605156,F,East Anglian Region,Lower Than A Level,10-20,0-35,0,30,N,Pass,-22.0,,60.0,72.0,121.0,58.0,172.0,33.0,108.0,100.0,164.0,60.0,167.0,80.0,195.0,80.0,,,,,81.0,3.0,277.0,857.0,82.0,51.0,37.0
2013J,605225,M,London Region,A Level or Equivalent,10-20,0-35,0,30,N,Pass,-28.0,,48.0,85.0,119.0,85.0,168.0,85.0,88.0,80.0,143.0,80.0,161.0,100.0,209.0,100.0,209.0,80.0,213.0,100.0,8.0,0.0,68.0,178.0,110.0,23.0,8.0
2013J,605301,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-37.0,,57.0,85.0,122.0,80.0,177.0,85.0,87.0,80.0,130.0,80.0,152.0,60.0,199.0,80.0,200.0,60.0,230.0,100.0,258.0,3.0,218.0,398.0,100.0,22.0,22.0
2013J,605306,F,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Withdrawn,-26.0,187.0,57.0,58.0,124.0,60.0,,,124.0,80.0,157.0,80.0,158.0,60.0,,,,,,,51.0,0.0,68.0,115.0,40.0,12.0,7.0
2013J,605325,F,London Region,Lower Than A Level,20-30%,0-35,0,30,N,Fail,-17.0,,60.0,65.0,124.0,65.0,,,,,,,,,,,,,,,9.0,0.0,37.0,30.0,1.0,6.0,9.0
2013J,605521,F,London Region,A Level or Equivalent,50-60%,0-35,0,30,N,Distinction,-51.0,,59.0,64.0,123.0,68.0,173.0,60.0,109.0,100.0,207.0,60.0,207.0,100.0,207.0,60.0,231.0,40.0,231.0,60.0,9.0,0.0,93.0,137.0,121.0,23.0,10.0
2013J,605692,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,30,N,Pass,-19.0,,53.0,70.0,123.0,83.0,171.0,80.0,189.0,80.0,189.0,100.0,189.0,72.0,223.0,40.0,,,,,7.0,0.0,58.0,62.0,81.0,28.0,16.0
2013J,605733,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,30,N,Pass,-43.0,,60.0,75.0,122.0,80.0,173.0,65.0,130.0,80.0,143.0,100.0,175.0,80.0,228.0,100.0,,,,,14.0,0.0,112.0,315.0,109.0,25.0,24.0
2013J,605861,F,East Anglian Region,No Formal quals,20-30%,0-35,0,30,Y,Fail,-29.0,,60.0,80.0,123.0,50.0,,,,,,,,,,,,,,,56.0,0.0,29.0,33.0,0.0,4.0,11.0
2013J,605901,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,30,Y,Distinction,-31.0,,60.0,69.0,137.0,85.0,194.0,92.0,139.0,100.0,194.0,100.0,194.0,100.0,194.0,100.0,229.0,100.0,229.0,100.0,79.0,9.0,82.0,145.0,86.0,29.0,11.0
2013J,605920,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,30,N,Pass,-24.0,,60.0,50.0,123.0,80.0,172.0,69.0,108.0,80.0,136.0,100.0,159.0,100.0,207.0,100.0,207.0,80.0,,,143.0,1.0,73.0,237.0,114.0,18.0,75.0
2013J,605939,M,London Region,Lower Than A Level,10-20,35-55,0,30,N,Withdrawn,-45.0,-7.0,,,,,,,,,,,,,,,,,,,0.0,0.0,13.0,19.0,0.0,5.0,2.0
2013J,605977,M,South Region,Lower Than A Level,10-20,35-55,0,30,N,Distinction,-31.0,,56.0,63.0,122.0,64.0,172.0,70.0,143.0,100.0,146.0,100.0,174.0,72.0,196.0,100.0,199.0,100.0,,,37.0,0.0,140.0,117.0,106.0,40.0,37.0
2013J,606028,F,South West Region,A Level or Equivalent,30-40%,0-35,0,30,Y,Pass,-26.0,,32.0,65.0,107.0,50.0,163.0,39.0,87.0,100.0,132.0,60.0,157.0,60.0,185.0,80.0,203.0,60.0,214.0,100.0,135.0,2.0,139.0,510.0,119.0,41.0,16.0
2013J,606052,F,North Western Region,Lower Than A Level,30-40%,35-55,0,30,Y,Fail,-24.0,,61.0,80.0,145.0,75.0,,,,,,,,,,,,,,,0.0,0.0,30.0,27.0,4.0,5.0,10.0
2013J,606233,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,30,N,Pass,-24.0,,60.0,65.0,123.0,87.0,179.0,82.0,109.0,100.0,179.0,80.0,230.0,100.0,230.0,60.0,230.0,40.0,230.0,80.0,0.0,0.0,19.0,38.0,103.0,1.0,2.0
2013J,606245,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,30,Y,Distinction,-24.0,,53.0,80.0,123.0,82.0,173.0,85.0,108.0,80.0,147.0,60.0,172.0,100.0,214.0,80.0,227.0,100.0,229.0,80.0,28.0,0.0,100.0,248.0,112.0,39.0,8.0
2013J,606391,F,Yorkshire Region,Lower Than A Level,50-60%,35-55,0,30,N,Distinction,-22.0,,61.0,64.0,123.0,78.0,172.0,85.0,94.0,100.0,151.0,100.0,160.0,100.0,207.0,100.0,220.0,100.0,221.0,100.0,111.0,0.0,147.0,244.0,107.0,44.0,24.0
2013J,606409,F,South West Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-26.0,,59.0,60.0,119.0,68.0,170.0,70.0,94.0,80.0,136.0,100.0,158.0,80.0,200.0,80.0,207.0,100.0,,,1.0,10.0,102.0,222.0,76.0,8.0,10.0
2013J,606418,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,30,N,Withdrawn,-29.0,32.0,,,,,,,,,,,,,,,,,,,0.0,0.0,36.0,14.0,0.0,10.0,8.0
2013J,606435,M,South West Region,Lower Than A Level,10-20,0-35,0,30,N,Pass,-24.0,,60.0,55.0,123.0,65.0,180.0,81.0,230.0,60.0,230.0,100.0,230.0,100.0,230.0,100.0,230.0,100.0,230.0,80.0,0.0,0.0,55.0,72.0,96.0,9.0,16.0
2013J,606463,F,South East Region,Lower Than A Level,40-50%,35-55,0,30,Y,Distinction,-49.0,,59.0,70.0,121.0,80.0,166.0,85.0,137.0,100.0,137.0,100.0,152.0,100.0,186.0,80.0,201.0,100.0,,,9.0,14.0,93.0,329.0,127.0,28.0,14.0
2013J,606471,M,South Region,A Level or Equivalent,40-50%,35-55,0,30,N,Pass,-49.0,,50.0,70.0,122.0,75.0,169.0,80.0,94.0,100.0,136.0,100.0,150.0,100.0,185.0,100.0,200.0,100.0,220.0,100.0,19.0,0.0,65.0,150.0,131.0,12.0,4.0
2013J,606497,M,South Region,A Level or Equivalent,40-50%,35-55,0,30,Y,Fail,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013J,606570,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,30,N,Pass,-24.0,,,,136.0,60.0,171.0,75.0,146.0,100.0,154.0,100.0,165.0,80.0,185.0,100.0,200.0,100.0,213.0,100.0,15.0,0.0,134.0,315.0,226.0,4.0,7.0
2013J,606574,F,London Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail,-29.0,,,,,,,,,,,,,,,,,,,,22.0,0.0,19.0,9.0,0.0,4.0,12.0
2013J,606815,M,South East Region,Lower Than A Level,60-70%,0-35,0,30,N,Pass,-27.0,,49.0,70.0,110.0,85.0,162.0,80.0,87.0,80.0,129.0,60.0,149.0,100.0,185.0,80.0,199.0,80.0,213.0,80.0,83.0,1.0,154.0,209.0,90.0,60.0,46.0
2013J,606864,F,South East Region,HE Qualification,10-20,0-35,0,30,N,Distinction,-24.0,,56.0,87.0,117.0,84.0,172.0,85.0,89.0,80.0,138.0,100.0,154.0,80.0,201.0,100.0,213.0,80.0,220.0,40.0,116.0,2.0,115.0,248.0,102.0,21.0,12.0
2013J,606869,F,East Midlands Region,Lower Than A Level,70-80%,35-55,0,30,N,Pass,-26.0,,59.0,65.0,120.0,68.0,193.0,60.0,101.0,100.0,151.0,80.0,,,199.0,100.0,208.0,100.0,,,114.0,0.0,100.0,251.0,71.0,28.0,26.0
2013J,606895,F,Yorkshire Region,Lower Than A Level,50-60%,35-55,0,90,N,Fail,-24.0,,59.0,75.0,139.0,65.0,,,,,,,,,,,,,,,9.0,2.0,67.0,43.0,0.0,14.0,11.0
2013J,607018,F,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,30,N,Fail,-24.0,,60.0,55.0,124.0,71.0,173.0,78.0,129.0,100.0,129.0,100.0,230.0,100.0,231.0,0.0,,,,,17.0,0.0,82.0,84.0,69.0,15.0,13.0
2013J,607163,F,South East Region,A Level or Equivalent,50-60%,0-35,0,30,N,Pass,-26.0,,54.0,68.0,123.0,65.0,181.0,68.0,96.0,100.0,139.0,100.0,229.0,100.0,229.0,80.0,,,,,91.0,2.0,49.0,83.0,68.0,6.0,4.0
2013J,607256,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,30,N,Pass,-28.0,,59.0,70.0,123.0,75.0,172.0,70.0,150.0,80.0,150.0,100.0,216.0,80.0,215.0,100.0,216.0,60.0,,,269.0,8.0,300.0,514.0,119.0,63.0,51.0
2013J,607293,F,North Western Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass,-22.0,,60.0,70.0,123.0,62.0,172.0,75.0,179.0,80.0,179.0,60.0,179.0,80.0,220.0,100.0,220.0,20.0,229.0,80.0,8.0,2.0,125.0,356.0,135.0,33.0,14.0
2013J,607337,F,East Anglian Region,No Formal quals,40-50%,0-35,0,30,N,Fail,-26.0,,40.0,58.0,118.0,35.0,173.0,34.0,91.0,60.0,140.0,60.0,,,,,,,,,80.0,0.0,82.0,63.0,36.0,34.0,21.0
2013J,607443,F,London Region,Lower Than A Level,40-50%,0-35,0,30,N,Pass,-36.0,,60.0,80.0,119.0,80.0,171.0,85.0,98.0,80.0,154.0,100.0,154.0,100.0,227.0,80.0,207.0,100.0,227.0,100.0,68.0,0.0,44.0,119.0,114.0,4.0,18.0
2013J,607483,M,South East Region,Lower Than A Level,60-70%,0-35,0,30,N,Distinction,-36.0,,61.0,55.0,124.0,60.0,172.0,55.0,110.0,100.0,158.0,100.0,196.0,100.0,200.0,80.0,224.0,80.0,231.0,100.0,85.0,13.0,77.0,292.0,114.0,18.0,6.0
2013J,607507,M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,30,N,Distinction,-26.0,,59.0,84.0,123.0,60.0,172.0,75.0,95.0,100.0,199.0,60.0,199.0,80.0,230.0,100.0,230.0,100.0,230.0,80.0,42.0,8.0,144.0,497.0,118.0,144.0,26.0
2013J,607510,M,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,30,N,Fail,-29.0,,27.0,85.0,,,,,,,,,,,,,,,,,11.0,0.0,44.0,36.0,6.0,11.0,3.0
2013J,607514,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,30,N,Fail,-28.0,,59.0,45.0,,,,,,,,,,,,,,,,,67.0,1.0,72.0,52.0,0.0,29.0,25.0
2013J,607548,M,South East Region,Lower Than A Level,90-100%,0-35,0,30,N,Pass,-24.0,,37.0,60.0,116.0,54.0,169.0,66.0,102.0,80.0,138.0,100.0,158.0,100.0,217.0,100.0,217.0,100.0,,,79.0,17.0,158.0,439.0,101.0,14.0,32.0
2013J,607754,M,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,30,N,Pass,-38.0,,60.0,75.0,123.0,65.0,172.0,69.0,108.0,100.0,137.0,100.0,158.0,80.0,200.0,80.0,207.0,100.0,220.0,100.0,110.0,4.0,179.0,485.0,181.0,71.0,19.0
2013J,607797,F,South Region,A Level or Equivalent,90-100%,35-55,0,30,N,Pass,-29.0,,55.0,65.0,117.0,65.0,167.0,75.0,97.0,80.0,152.0,100.0,167.0,100.0,187.0,100.0,201.0,100.0,215.0,100.0,0.0,0.0,118.0,332.0,111.0,12.0,9.0
2013J,607798,F,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail,-29.0,,26.0,60.0,,,,,,,,,,,,,,,,,100.0,5.0,200.0,172.0,13.0,83.0,65.0
2013J,607827,M,North Western Region,HE Qualification,50-60%,35-55,0,30,N,Fail,-31.0,,60.0,55.0,,,,,,,,,,,,,,,,,156.0,0.0,84.0,49.0,0.0,17.0,17.0
2013J,607849,F,South West Region,Lower Than A Level,90-100%,0-35,0,30,N,Distinction,-24.0,,59.0,50.0,134.0,68.0,172.0,63.0,213.0,100.0,213.0,100.0,213.0,60.0,213.0,80.0,,,,,0.0,0.0,38.0,123.0,85.0,7.0,3.0
2013J,607912,F,South West Region,A Level or Equivalent,80-90%,35-55,0,30,Y,Pass,-24.0,,58.0,60.0,123.0,70.0,187.0,80.0,103.0,80.0,157.0,60.0,158.0,60.0,208.0,100.0,208.0,100.0,228.0,60.0,68.0,3.0,228.0,204.0,124.0,119.0,51.0
2013J,607957,F,South Region,Lower Than A Level,80-90%,0-35,0,30,N,Withdrawn,-36.0,228.0,61.0,85.0,135.0,75.0,197.0,78.0,140.0,80.0,182.0,40.0,,,,,,,,,84.0,0.0,79.0,151.0,31.0,19.0,39.0
2013J,608114,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,30,N,Fail,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013J,608115,M,South East Region,A Level or Equivalent,80-90%,0-35,0,30,N,Distinction,-29.0,,52.0,68.0,123.0,80.0,171.0,75.0,96.0,100.0,144.0,80.0,167.0,100.0,210.0,80.0,210.0,100.0,222.0,100.0,10.0,3.0,121.0,291.0,101.0,67.0,18.0
2013J,608195,F,West Midlands Region,Lower Than A Level,50-60%,35-55,0,30,N,Pass,-22.0,,61.0,85.0,138.0,85.0,175.0,90.0,227.0,100.0,227.0,60.0,229.0,100.0,227.0,100.0,228.0,80.0,229.0,100.0,70.0,1.0,92.0,216.0,149.0,14.0,24.0
2013J,608306,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-22.0,,62.0,80.0,129.0,70.0,,,123.0,80.0,,,,,,,,,,,0.0,0.0,13.0,33.0,28.0,5.0,5.0
