code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,ass_8_date,ass_8_score,ass_9_date,ass_9_score,ass_10_date,ass_10_score,ass_11_date,ass_11_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouelluminate,clicks_quiz,clicks_resource,clicks_sharedsubpage,clicks_subpage,clicks_url
2013B,542081,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn,-23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,11.0,,2.0,0.0,0.0,4.0,0.0,6.0,1.0
2013B,542084,F,Wales,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-102.0,,19.0,67.0,61.0,73.0,103.0,75.0,138.0,71.0,173.0,68.0,201.0,80.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,,,213.0,1.0,192.0,,1.0,2.0,87.0,55.0,0.0,96.0,26.0
2013B,542115,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-16.0,,,,49.0,42.0,,,,,,,,,,,,,,,,,,,9.0,0.0,178.0,,4.0,0.0,18.0,70.0,0.0,148.0,31.0
2013B,542172,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-53.0,122.0,27.0,18.0,48.0,18.0,,,,,,,,,,,,,,,,,,,102.0,0.0,6.0,,0.0,0.0,0.0,3.0,0.0,1.0,3.0
2013B,542259,F,Scotland,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn,-87.0,222.0,21.0,68.0,46.0,0.0,95.0,33.0,134.0,40.0,164.0,55.0,187.0,35.0,60.0,100.0,95.0,20.0,126.0,40.0,164.0,40.0,189.0,0.0,237.0,1.0,176.0,,1.0,0.0,163.0,6.0,0.0,42.0,8.0
2013B,542260,F,Wales,Lower Than A Level,0-10%,35-55,0,60,Y,Fail,-23.0,,18.0,70.0,51.0,63.0,98.0,55.0,,,,,,,60.0,100.0,,,,,,,,,56.0,2.0,67.0,,1.0,0.0,17.0,19.0,0.0,50.0,22.0
2013B,542291,F,South East Region,HE Qualification,70-80%,0-35,0,60,N,Pass,-34.0,,19.0,73.0,47.0,79.0,89.0,64.0,,,160.0,89.0,188.0,75.0,60.0,100.0,95.0,100.0,,,164.0,80.0,189.0,100.0,226.0,0.0,70.0,,0.0,0.0,76.0,4.0,0.0,7.0,2.0
2013B,542396,F,South Region,Lower Than A Level,20-30%,35-55,0,60,N,Withdrawn,-94.0,42.0,23.0,73.0,,,,,,,,,,,,,,,,,,,,,10.0,0.0,27.0,,2.0,0.0,0.0,16.0,0.0,17.0,10.0
2013B,542543,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-76.0,,18.0,40.0,54.0,46.0,,,,,,,,,,,,,,,,,,,100.0,0.0,26.0,,1.0,1.0,6.0,14.0,0.0,25.0,4.0
2013B,542562,F,South East Region,A Level or Equivalent,60-70%,0-35,0,150,Y,Withdrawn,-85.0,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,542602,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn,-68.0,11.0,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,15.0,,0.0,0.0,0.0,6.0,0.0,10.0,6.0
2013B,542613,F,South West Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,-30.0,,19.0,52.0,45.0,55.0,86.0,60.0,122.0,65.0,,,183.0,63.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,751.0,1.0,258.0,,1.0,0.0,112.0,70.0,0.0,132.0,25.0
2013B,542622,F,North Western Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,542663,F,North Region,Lower Than A Level,50-60%,0-35,0,60,N,Fail,-71.0,,18.0,50.0,47.0,36.0,89.0,39.0,142.0,40.0,159.0,41.0,,,60.0,100.0,95.0,100.0,,,164.0,100.0,,,294.0,0.0,28.0,,0.0,0.0,61.0,6.0,0.0,9.0,2.0
2013B,542687,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-92.0,,18.0,75.0,,,,,,,,,,,,,,,,,,,,,229.0,0.0,47.0,,1.0,0.0,1.0,0.0,0.0,8.0,1.0
2013B,542692,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-82.0,,,,47.0,25.0,,,,,,,,,,,,,,,,,,,0.0,0.0,11.0,,0.0,0.0,0.0,4.0,0.0,7.0,2.0
2013B,542745,F,East Anglian Region,HE Qualification,30-40%,35-55,0,60,N,Fail,-65.0,,18.0,69.0,46.0,58.0,88.0,0.0,121.0,0.0,165.0,50.0,187.0,57.0,60.0,80.0,95.0,80.0,126.0,80.0,164.0,100.0,189.0,100.0,131.0,1.0,123.0,,1.0,0.0,75.0,26.0,0.0,56.0,10.0
2013B,542748,F,South East Region,Lower Than A Level,50-60%,0-35,0,60,N,Distinction,-86.0,,19.0,80.0,47.0,95.0,89.0,82.0,124.0,83.0,158.0,85.0,187.0,89.0,60.0,100.0,95.0,80.0,126.0,100.0,164.0,100.0,189.0,100.0,75.0,0.0,95.0,,1.0,0.0,73.0,49.0,0.0,44.0,14.0
2013B,542760,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-90.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,542991,F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,-25.0,,19.0,50.0,54.0,59.0,89.0,44.0,,,167.0,47.0,190.0,34.0,60.0,100.0,95.0,80.0,,,164.0,40.0,189.0,80.0,103.0,0.0,32.0,,0.0,0.0,80.0,1.0,0.0,7.0,3.0
2013B,543124,F,Wales,A Level or Equivalent,40-50%,0-35,0,60,Y,Pass,-28.0,,18.0,85.0,46.0,79.0,87.0,80.0,121.0,83.0,158.0,83.0,186.0,80.0,60.0,100.0,95.0,100.0,126.0,60.0,164.0,100.0,189.0,100.0,232.0,0.0,325.0,,2.0,0.0,88.0,222.0,0.0,311.0,23.0
2013B,543140,F,South West Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,-18.0,,19.0,78.0,61.0,50.0,89.0,50.0,,,,,,,60.0,100.0,95.0,60.0,,,,,,,391.0,0.0,256.0,,0.0,2.0,37.0,33.0,1.0,77.0,29.0
2013B,543165,M,London Region,A Level or Equivalent,60-70%,0-35,0,120,Y,Pass,-79.0,,17.0,80.0,39.0,80.0,83.0,78.0,121.0,76.0,172.0,80.0,186.0,85.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,80.0,189.0,100.0,310.0,2.0,518.0,,1.0,2.0,204.0,100.0,0.0,192.0,52.0
2013B,543180,F,Wales,Lower Than A Level,0-10%,0-35,0,60,Y,Pass,-66.0,,15.0,65.0,46.0,61.0,88.0,62.0,123.0,68.0,158.0,65.0,,,60.0,80.0,95.0,60.0,126.0,40.0,164.0,40.0,189.0,60.0,493.0,0.0,55.0,,0.0,0.0,85.0,29.0,0.0,48.0,11.0
2013B,543199,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn,-60.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,543351,F,London Region,No Formal quals,20-30%,0-35,0,60,N,Pass,-42.0,,18.0,50.0,53.0,35.0,88.0,67.0,124.0,55.0,166.0,80.0,194.0,76.0,60.0,100.0,95.0,80.0,126.0,80.0,164.0,100.0,189.0,100.0,288.0,0.0,164.0,,1.0,1.0,67.0,7.0,0.0,11.0,5.0
2013B,543356,F,Ireland,Lower Than A Level,10-20,35-55,0,120,N,Pass,-77.0,,18.0,75.0,47.0,67.0,89.0,72.0,124.0,75.0,159.0,72.0,187.0,78.0,60.0,100.0,95.0,100.0,126.0,60.0,164.0,60.0,189.0,100.0,1669.0,5.0,767.0,,2.0,3.0,81.0,63.0,1.0,91.0,47.0
2013B,543365,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-73.0,-47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,543408,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,-58.0,158.0,18.0,80.0,51.0,63.0,,,,,,,,,60.0,100.0,95.0,80.0,,,,,,,4.0,0.0,34.0,,2.0,0.0,27.0,6.0,0.0,9.0,3.0
2013B,543465,F,North Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-55.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,3.0,,0.0,0.0,0.0,2.0,0.0,3.0,4.0
2013B,543473,F,South East Region,Lower Than A Level,80-90%,35-55,0,90,N,Pass,-49.0,,19.0,77.0,61.0,80.0,106.0,81.0,140.0,82.0,167.0,83.0,188.0,86.0,60.0,80.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,80.0,701.0,1.0,340.0,,3.0,2.0,131.0,9.0,0.0,40.0,23.0
2013B,543533,F,South East Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn,-16.0,207.0,18.0,25.0,68.0,45.0,129.0,26.0,,,,,,,60.0,80.0,95.0,100.0,126.0,60.0,164.0,100.0,189.0,40.0,52.0,0.0,84.0,,1.0,0.0,83.0,73.0,0.0,75.0,8.0
2013B,543630,F,North Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,-23.0,,19.0,65.0,46.0,58.0,89.0,55.0,124.0,5.0,,,,,60.0,80.0,95.0,80.0,126.0,80.0,164.0,60.0,,,107.0,0.0,53.0,,1.0,0.0,55.0,12.0,0.0,11.0,4.0
2013B,543719,F,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-60.0,,8.0,80.0,43.0,78.0,83.0,37.0,122.0,58.0,179.0,45.0,,,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,189.0,60.0,317.0,2.0,154.0,,0.0,0.0,65.0,25.0,0.0,57.0,8.0
2013B,543853,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,Pass,-55.0,,18.0,83.0,47.0,73.0,89.0,83.0,138.0,84.0,163.0,80.0,187.0,89.0,60.0,100.0,95.0,80.0,126.0,100.0,164.0,100.0,189.0,100.0,894.0,9.0,565.0,,2.0,9.0,138.0,16.0,0.0,117.0,55.0
2013B,543864,F,Scotland,Lower Than A Level,10-20,0-35,0,60,N,Fail,-53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,543896,F,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-52.0,-49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,543926,F,London Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,-78.0,138.0,23.0,60.0,47.0,64.0,,,,,,,,,60.0,60.0,95.0,60.0,,,,,,,79.0,0.0,67.0,,1.0,0.0,38.0,9.0,0.0,12.0,9.0
2013B,543970,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-74.0,,13.0,73.0,45.0,81.0,89.0,75.0,,,,,,,60.0,100.0,95.0,100.0,,,,,,,2078.0,0.0,1317.0,,1.0,1.0,99.0,21.0,0.0,34.0,11.0
2013B,544017,F,Ireland,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,-28.0,,19.0,60.0,47.0,62.0,89.0,59.0,,,,,,,60.0,100.0,95.0,80.0,126.0,80.0,,,,,32.0,0.0,22.0,,0.0,0.0,46.0,1.0,0.0,2.0,0.0
2013B,544186,M,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Distinction,-82.0,,19.0,83.0,45.0,82.0,83.0,89.0,123.0,82.0,159.0,89.0,187.0,85.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,358.0,1.0,216.0,,2.0,1.0,63.0,43.0,0.0,73.0,12.0
2013B,544351,F,North Region,Lower Than A Level,,0-35,0,120,N,Fail,-65.0,,25.0,38.0,47.0,26.0,84.0,37.0,167.0,38.0,197.0,35.0,187.0,37.0,60.0,40.0,95.0,100.0,126.0,60.0,,,189.0,20.0,275.0,9.0,187.0,,0.0,3.0,137.0,169.0,0.0,104.0,35.0
2013B,544408,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-27.0,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.0,23.0,,1.0,0.0,1.0,14.0,0.0,28.0,10.0
2013B,544435,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-73.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,544444,F,Wales,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn,-78.0,53.0,16.0,78.0,,,,,,,,,,,,,,,,,,,,,177.0,1.0,63.0,,4.0,0.0,14.0,28.0,0.0,60.0,11.0
2013B,544455,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,-68.0,,17.0,59.0,45.0,65.0,87.0,53.0,123.0,73.0,,,186.0,59.0,60.0,100.0,95.0,80.0,126.0,80.0,164.0,60.0,189.0,40.0,2594.0,3.0,724.0,,0.0,2.0,102.0,39.0,0.0,38.0,24.0
2013B,544491,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,-27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,544500,F,Wales,HE Qualification,0-10%,35-55,0,60,N,Fail,-15.0,,22.0,70.0,47.0,57.0,97.0,68.0,,,,,,,60.0,80.0,95.0,80.0,126.0,80.0,164.0,40.0,,,262.0,0.0,74.0,,0.0,0.0,54.0,6.0,0.0,7.0,5.0
2013B,544519,F,North Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-78.0,,18.0,55.0,47.0,52.0,88.0,55.0,124.0,48.0,159.0,36.0,187.0,30.0,60.0,80.0,95.0,60.0,126.0,80.0,164.0,60.0,189.0,40.0,100.0,0.0,35.0,,0.0,0.0,85.0,3.0,0.0,15.0,1.0
2013B,544532,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-86.0,,19.0,70.0,46.0,74.0,89.0,72.0,124.0,63.0,159.0,79.0,187.0,72.0,60.0,80.0,95.0,80.0,126.0,100.0,164.0,100.0,189.0,100.0,143.0,0.0,136.0,,1.0,0.0,87.0,12.0,0.0,24.0,14.0
2013B,544627,F,East Anglian Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,-86.0,183.0,16.0,67.0,44.0,63.0,91.0,60.0,,,,,,,60.0,40.0,95.0,100.0,126.0,80.0,164.0,40.0,,,263.0,1.0,100.0,,2.0,0.0,65.0,9.0,0.0,12.0,8.0
2013B,544632,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,-50.0,,17.0,66.0,44.0,73.0,79.0,70.0,120.0,70.0,141.0,74.0,184.0,70.0,60.0,100.0,95.0,40.0,126.0,60.0,164.0,40.0,189.0,60.0,466.0,1.0,208.0,,0.0,0.0,73.0,17.0,0.0,11.0,10.0
2013B,544639,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,-24.0,,19.0,40.0,43.0,60.0,78.0,40.0,138.0,46.0,170.0,46.0,187.0,60.0,,,,,,,,,,,24.0,0.0,18.0,,0.0,0.0,2.0,14.0,0.0,22.0,2.0
2013B,544642,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-89.0,,19.0,76.0,45.0,61.0,88.0,62.0,124.0,79.0,166.0,46.0,186.0,77.0,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,189.0,100.0,669.0,0.0,367.0,,0.0,7.0,79.0,35.0,0.0,71.0,26.0
2013B,544686,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,-23.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,544741,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,-59.0,,21.0,57.0,46.0,67.0,89.0,71.0,127.0,75.0,158.0,63.0,186.0,73.0,60.0,100.0,95.0,80.0,126.0,80.0,164.0,80.0,189.0,80.0,43.0,0.0,45.0,,0.0,0.0,124.0,9.0,0.0,6.0,4.0
2013B,544796,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,-93.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,544848,F,South East Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-77.0,,17.0,89.0,46.0,76.0,89.0,88.0,124.0,90.0,159.0,92.0,,,60.0,100.0,95.0,100.0,126.0,100.0,164.0,80.0,189.0,100.0,432.0,4.0,282.0,,1.0,0.0,65.0,26.0,0.0,52.0,13.0
2013B,544859,F,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,N,Fail,-74.0,,22.0,50.0,46.0,76.0,88.0,66.0,124.0,68.0,159.0,58.0,209.0,56.0,60.0,100.0,95.0,80.0,126.0,100.0,164.0,40.0,189.0,60.0,272.0,7.0,141.0,,0.0,3.0,81.0,25.0,0.0,105.0,40.0
2013B,544881,F,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-55.0,,19.0,80.0,60.0,78.0,89.0,74.0,129.0,79.0,166.0,78.0,,,60.0,100.0,95.0,60.0,126.0,80.0,164.0,20.0,189.0,60.0,700.0,2.0,452.0,,2.0,1.0,95.0,54.0,0.0,88.0,17.0
2013B,544890,F,West Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-68.0,,17.0,69.0,56.0,58.0,94.0,50.0,123.0,62.0,159.0,45.0,186.0,55.0,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,189.0,80.0,128.0,0.0,81.0,,0.0,0.0,78.0,6.0,0.0,19.0,4.0
2013B,544978,F,North Western Region,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,-18.0,,18.0,72.0,56.0,59.0,88.0,50.0,,,,,,,60.0,100.0,95.0,100.0,,,,,,,22.0,0.0,8.0,,1.0,0.0,32.0,2.0,0.0,4.0,2.0
2013B,544989,M,West Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,-58.0,,25.0,70.0,,,86.0,62.0,142.0,10.0,158.0,70.0,,,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,80.0,376.0,1.0,199.0,,0.0,1.0,93.0,57.0,1.0,85.0,16.0
2013B,545001,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-53.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,545041,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-48.0,,19.0,53.0,47.0,70.0,,,,,,,,,60.0,100.0,95.0,80.0,126.0,80.0,,,,,85.0,0.0,67.0,,1.0,0.0,42.0,7.0,0.0,8.0,2.0
2013B,545072,F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail,-68.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18.0,,1.0,0.0,0.0,5.0,0.0,12.0,6.0
2013B,545191,F,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-23.0,,16.0,73.0,40.0,69.0,87.0,73.0,117.0,63.0,157.0,65.0,176.0,68.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,80.0,1131.0,1.0,297.0,,1.0,0.0,70.0,37.0,0.0,52.0,15.0
2013B,545219,F,North Region,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn,-86.0,17.0,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,38.0,,2.0,1.0,3.0,26.0,0.0,39.0,14.0
2013B,545223,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,-86.0,226.0,19.0,60.0,47.0,58.0,91.0,59.0,131.0,56.0,166.0,59.0,,,60.0,60.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,60.0,3131.0,7.0,985.0,,1.0,9.0,91.0,57.0,0.0,161.0,43.0
2013B,545240,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,-78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,545337,M,South West Region,A Level or Equivalent,30-40%,0-35,0,90,N,Withdrawn,-77.0,16.0,,,,,,,,,,,,,,,,,,,,,,,42.0,0.0,51.0,,1.0,0.0,0.0,13.0,0.0,17.0,12.0
2013B,545340,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-73.0,,19.0,65.0,61.0,70.0,,,,,,,,,60.0,100.0,95.0,100.0,126.0,100.0,,,,,18.0,0.0,47.0,,1.0,0.0,47.0,3.0,0.0,5.0,3.0
2013B,545376,M,South East Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,-86.0,54.0,17.0,70.0,,,,,,,,,,,,,,,,,,,,,112.0,0.0,49.0,,0.0,0.0,2.0,16.0,0.0,27.0,6.0
2013B,545381,F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-60.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013B,545392,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-74.0,,23.0,71.0,47.0,73.0,87.0,82.0,127.0,77.0,159.0,74.0,188.0,82.0,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,189.0,80.0,196.0,2.0,146.0,,1.0,0.0,123.0,12.0,0.0,40.0,18.0
2013B,545480,F,London Region,A Level or Equivalent,0-10%,35-55,0,60,N,Withdrawn,-74.0,222.0,20.0,65.0,61.0,65.0,90.0,30.0,,,,,,,60.0,80.0,95.0,100.0,126.0,60.0,,,,,332.0,0.0,235.0,,0.0,0.0,72.0,55.0,0.0,70.0,13.0
2013B,545514,F,London Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,-98.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,545521,M,South Region,Lower Than A Level,30-40%,35-55,0,60,Y,Withdrawn,-44.0,51.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,,1.0,0.0,0.0,6.0,0.0,8.0,3.0
2013B,545658,F,Wales,HE Qualification,30-40%,35-55,0,60,N,Pass,-86.0,,17.0,87.0,45.0,80.0,87.0,78.0,123.0,75.0,157.0,90.0,187.0,85.0,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,189.0,100.0,290.0,0.0,134.0,,0.0,1.0,78.0,22.0,0.0,45.0,10.0
2013B,545697,F,South West Region,Lower Than A Level,50-60%,0-35,0,60,Y,Pass,-49.0,,19.0,57.0,44.0,54.0,88.0,63.0,121.0,50.0,143.0,56.0,,,60.0,100.0,95.0,60.0,126.0,60.0,164.0,60.0,189.0,20.0,832.0,0.0,194.0,,2.0,0.0,75.0,6.0,0.0,16.0,6.0
2013B,545702,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-66.0,,20.0,61.0,47.0,34.0,84.0,54.0,124.0,61.0,160.0,51.0,185.0,61.0,60.0,100.0,95.0,80.0,126.0,80.0,164.0,80.0,189.0,60.0,94.0,0.0,35.0,,1.0,0.0,72.0,5.0,0.0,11.0,1.0
2013B,545725,F,Scotland,HE Qualification,10-20,0-35,0,60,N,Withdrawn,-79.0,184.0,15.0,77.0,45.0,78.0,85.0,75.0,,,156.0,74.0,,,60.0,100.0,95.0,100.0,126.0,80.0,164.0,100.0,,,1733.0,3.0,567.0,,0.0,0.0,65.0,6.0,0.0,23.0,5.0
2013B,545780,M,Scotland,Lower Than A Level,0-10%,35-55,0,60,N,Fail,-74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,545799,F,London Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-95.0,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,545803,F,Ireland,HE Qualification,0-10%,0-35,0,120,N,Fail,-15.0,,18.0,64.0,,,96.0,0.0,,,,,,,,,95.0,100.0,126.0,80.0,,,,,204.0,1.0,115.0,,0.0,0.0,31.0,29.0,0.0,55.0,9.0
2013B,545896,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,120,N,Withdrawn,-27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,0.0,0.0,0.0,2.0,0.0,3.0,0.0
2013B,545927,M,South East Region,Lower Than A Level,10-20,35-55,0,120,N,Withdrawn,-36.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,546015,F,West Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,-21.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,546019,F,Wales,Lower Than A Level,70-80%,0-35,0,60,N,Fail,-46.0,,19.0,68.0,,,,,,,,,,,,,,,,,,,,,54.0,0.0,44.0,,3.0,0.0,0.0,19.0,0.0,44.0,6.0
2013B,546052,F,South Region,Lower Than A Level,90-100%,35-55,0,120,N,Distinction,-30.0,,19.0,78.0,46.0,76.0,89.0,92.0,124.0,79.0,157.0,86.0,186.0,86.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,146.0,4.0,123.0,,2.0,0.0,76.0,50.0,0.0,63.0,31.0
2013B,546136,F,London Region,No Formal quals,20-30%,0-35,0,60,N,Withdrawn,-77.0,123.0,18.0,52.0,47.0,46.0,,,,,,,,,60.0,100.0,,,,,,,,,205.0,2.0,47.0,,0.0,0.0,23.0,9.0,0.0,20.0,2.0
2013B,546157,F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-80.0,,6.0,40.0,45.0,40.0,107.0,49.0,124.0,69.0,158.0,62.0,185.0,45.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,80.0,124.0,0.0,77.0,,0.0,0.0,69.0,5.0,0.0,11.0,3.0
2013B,546202,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,-23.0,,19.0,75.0,56.0,80.0,,,,,,,,,60.0,80.0,95.0,100.0,,,,,,,231.0,4.0,40.0,,0.0,1.0,44.0,5.0,0.0,17.0,9.0
2013B,546322,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-59.0,,19.0,30.0,53.0,77.0,89.0,78.0,124.0,70.0,159.0,79.0,187.0,80.0,60.0,80.0,95.0,40.0,126.0,60.0,164.0,60.0,189.0,60.0,221.0,2.0,165.0,,1.0,0.0,70.0,25.0,0.0,66.0,17.0
2013B,546333,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,60,Y,Withdrawn,-21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2013B,546407,F,Scotland,Lower Than A Level,0-10%,35-55,0,60,N,Pass,-46.0,,17.0,74.0,46.0,87.0,88.0,86.0,124.0,82.0,159.0,86.0,,,60.0,100.0,95.0,100.0,126.0,100.0,164.0,80.0,189.0,100.0,3084.0,0.0,425.0,,1.0,3.0,65.0,24.0,0.0,115.0,33.0
