code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,clicks_externalquiz,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_resource,clicks_subpage,clicks_url
2013J,399203,F,Wales,HE Qualification,40-50%,35-55,1,120,N,Withdrawn,-36.0,88.0,25.0,17.0,,,,,,,,,,,,,4.0,0.0,0.0,45.0,0.0,67.0,2.0,19.0,55.0,3.0
2013J,399453,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass,-34.0,,24.0,73.0,53.0,37.0,88.0,62.0,123.0,73.0,165.0,48.0,190.0,45.0,242.0,69.0,6.0,21.0,0.0,72.0,1.0,17.0,62.0,15.0,108.0,5.0
2013J,399794,F,Scotland,HE Qualification,10-20,0-35,0,60,N,Fail,-67.0,,25.0,66.0,,,88.0,63.0,,,165.0,48.0,207.0,47.0,,,51.0,101.0,1.0,260.0,0.0,282.0,82.0,70.0,264.0,41.0
2013J,399843,F,South Region,Lower Than A Level,30-40%,0-35,2,120,N,Fail,-82.0,,25.0,49.0,,,,,,,,,,,,,1.0,31.0,0.0,34.0,0.0,30.0,0.0,2.0,25.0,3.0
2013J,399863,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,270,N,Withdrawn,-134.0,-121.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,399935,M,North Western Region,Lower Than A Level,50-60%,0-35,0,70,N,Fail,-33.0,,25.0,68.0,53.0,37.0,,,,,,,,,,,3.0,16.0,0.0,158.0,0.0,77.0,5.0,66.0,126.0,6.0
2013J,400942,F,North Region,Lower Than A Level,,0-35,1,300,N,Withdrawn,-37.0,223.0,24.0,52.0,53.0,56.0,88.0,62.0,123.0,18.0,165.0,22.0,207.0,35.0,,,2.0,62.0,0.0,120.0,0.0,30.0,41.0,19.0,122.0,8.0
2013J,401947,M,North Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,-102.0,220.0,25.0,63.0,,,89.0,59.0,,,,,,,,,1.0,0.0,0.0,18.0,0.0,2.0,0.0,26.0,46.0,2.0
2013J,402210,F,London Region,No Formal quals,50-60%,0-35,0,75,N,Pass,-64.0,,18.0,75.0,51.0,69.0,85.0,61.0,122.0,38.0,163.0,18.0,206.0,28.0,241.0,49.0,23.0,227.0,2.0,494.0,0.0,439.0,156.0,125.0,479.0,49.0
2013J,402433,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail,-39.0,,23.0,69.0,52.0,44.0,84.0,73.0,122.0,28.0,164.0,0.0,,,,,0.0,1.0,0.0,63.0,0.0,93.0,0.0,5.0,49.0,1.0
2013J,403052,F,Yorkshire Region,HE Qualification,20-30%,0-35,0,150,N,Fail,-22.0,0.0,26.0,32.0,53.0,39.0,89.0,68.0,128.0,25.0,,,,,,,18.0,213.0,0.0,160.0,8.0,89.0,35.0,38.0,174.0,7.0
2013J,405336,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,2,120,N,Fail,-137.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,10.0,0.0,7.0,0.0,2.0,23.0,1.0
2013J,405784,F,Wales,HE Qualification,20-30%,0-35,1,110,N,Withdrawn,-19.0,181.0,20.0,58.0,52.0,65.0,,,,,,,,,,,6.0,373.0,8.0,511.0,6.0,94.0,27.0,32.0,77.0,25.0
2013J,406224,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-25.0,,25.0,49.0,53.0,59.0,88.0,73.0,123.0,62.0,165.0,43.0,207.0,58.0,241.0,76.0,3.0,22.0,0.0,110.0,0.0,60.0,8.0,25.0,73.0,3.0
2013J,406498,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,2,60,N,Pass,-145.0,,-1.0,70.0,-1.0,72.0,88.0,83.0,123.0,27.0,178.0,41.0,207.0,28.0,237.0,62.0,4.0,304.0,0.0,272.0,14.0,43.0,130.0,39.0,91.0,0.0
2013J,407374,M,North Region,Lower Than A Level,,0-35,0,60,N,Distinction,-143.0,,14.0,89.0,39.0,92.0,77.0,91.0,120.0,94.0,156.0,83.0,195.0,93.0,242.0,96.0,21.0,345.0,1.0,349.0,23.0,66.0,98.0,96.0,537.0,69.0
2013J,408061,M,South Region,A Level or Equivalent,50-60%,0-35,0,90,N,Fail,-38.0,,24.0,63.0,52.0,68.0,87.0,70.0,122.0,58.0,164.0,81.0,206.0,30.0,237.0,33.0,2.0,116.0,0.0,162.0,0.0,340.0,59.0,43.0,79.0,3.0
2013J,408239,M,South West Region,Lower Than A Level,60-70%,0-35,2,60,N,Pass,-171.0,,23.0,82.0,53.0,77.0,84.0,85.0,128.0,73.0,165.0,83.0,207.0,75.0,237.0,58.0,2.0,251.0,0.0,336.0,5.0,309.0,115.0,47.0,123.0,3.0
2013J,408817,F,London Region,A Level or Equivalent,30-40%,0-35,1,60,N,Fail,-191.0,,-1.0,83.0,-1.0,71.0,82.0,63.0,114.0,58.0,169.0,39.0,,,,,4.0,20.0,0.0,68.0,0.0,91.0,58.0,13.0,48.0,2.0
2013J,409056,F,West Midlands Region,HE Qualification,0-10%,35-55,2,60,N,Withdrawn,-199.0,90.0,-1.0,83.0,-1.0,79.0,,,,,,,,,,,1.0,11.0,0.0,28.0,0.0,3.0,0.0,0.0,5.0,0.0
2013J,409105,M,Scotland,A Level or Equivalent,90-100%,35-55,0,60,N,Fail,-173.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,6.0
2013J,409794,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,120,N,Withdrawn,-121.0,30.0,,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,3.0,0.0,11.0,0.0,0.0
2013J,409880,F,South Region,A Level or Equivalent,20-30%,35-55,1,60,N,Pass,-38.0,,23.0,72.0,50.0,68.0,88.0,89.0,123.0,75.0,,,,,237.0,69.0,46.0,484.0,25.0,419.0,0.0,148.0,3.0,116.0,650.0,34.0
2013J,409953,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-58.0,,24.0,56.0,53.0,79.0,90.0,81.0,127.0,64.0,165.0,70.0,207.0,56.0,237.0,84.0,13.0,225.0,0.0,232.0,17.0,42.0,71.0,49.0,190.0,20.0
2013J,410084,M,Scotland,A Level or Equivalent,80-90%,0-35,1,60,N,Fail,-129.0,,32.0,38.0,53.0,46.0,,,,,,,,,,,1.0,9.0,0.0,25.0,0.0,29.0,22.0,2.0,13.0,0.0
2013J,410767,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,90,Y,Withdrawn,-202.0,112.0,16.0,77.0,47.0,84.0,84.0,94.0,,,,,,,,,11.0,401.0,25.0,500.0,5.0,87.0,69.0,58.0,354.0,39.0
2013J,411707,F,North Western Region,A Level or Equivalent,60-70%,0-35,1,120,N,Pass,-29.0,,25.0,80.0,53.0,76.0,92.0,70.0,123.0,85.0,165.0,78.0,,,242.0,80.0,18.0,243.0,0.0,206.0,14.0,31.0,108.0,65.0,282.0,19.0
2013J,411730,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,Withdrawn,-87.0,0.0,,,,,,,,,,,,,,,5.0,66.0,0.0,50.0,0.0,8.0,5.0,0.0,13.0,7.0
2013J,412175,M,East Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn,-56.0,129.0,19.0,69.0,42.0,53.0,69.0,25.0,112.0,38.0,,,,,,,4.0,37.0,0.0,148.0,0.0,98.0,0.0,54.0,174.0,16.0
2013J,412618,M,North Western Region,Lower Than A Level,60-70%,0-35,0,80,N,Distinction,-60.0,,24.0,88.0,52.0,91.0,85.0,91.0,123.0,92.0,165.0,73.0,207.0,86.0,237.0,84.0,24.0,207.0,0.0,415.0,15.0,258.0,114.0,74.0,303.0,38.0
2013J,414077,F,East Anglian Region,HE Qualification,20-30%,0-35,0,60,N,Withdrawn,-148.0,0.0,,,,,,,,,,,,,,,5.0,14.0,0.0,39.0,0.0,34.0,15.0,22.0,93.0,9.0
2013J,414247,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,180,N,Fail,-156.0,,16.0,80.0,50.0,78.0,78.0,87.0,120.0,66.0,164.0,70.0,206.0,51.0,241.0,42.0,9.0,84.0,0.0,332.0,20.0,217.0,107.0,60.0,252.0,49.0
2013J,415151,M,East Midlands Region,Lower Than A Level,10-20,0-35,1,180,Y,Withdrawn,-72.0,86.0,31.0,26.0,,,,,,,,,,,,,0.0,134.0,0.0,88.0,2.0,18.0,16.0,4.0,43.0,17.0
2013J,415187,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,120,N,Withdrawn,-130.0,45.0,32.0,32.0,,,,,,,,,,,,,2.0,0.0,0.0,36.0,0.0,32.0,0.0,1.0,26.0,0.0
2013J,416243,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,Y,Pass,-130.0,,25.0,58.0,53.0,71.0,88.0,73.0,,,167.0,44.0,209.0,49.0,237.0,62.0,6.0,188.0,86.0,98.0,9.0,195.0,35.0,41.0,147.0,3.0
2013J,416500,M,South East Region,A Level or Equivalent,90-100%,0-35,0,90,N,Fail,-68.0,,24.0,63.0,52.0,61.0,88.0,80.0,123.0,47.0,164.0,31.0,207.0,18.0,,,4.0,311.0,0.0,156.0,5.0,206.0,44.0,18.0,63.0,11.0
2013J,418159,M,Scotland,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-89.0,215.0,25.0,63.0,53.0,84.0,87.0,81.0,,,165.0,41.0,,,,,5.0,33.0,0.0,108.0,2.0,72.0,51.0,71.0,73.0,4.0
2013J,418397,M,South Region,Lower Than A Level,20-30%,0-35,0,60,Y,Pass,-24.0,,20.0,90.0,44.0,84.0,81.0,99.0,115.0,90.0,155.0,81.0,205.0,68.0,241.0,71.0,21.0,320.0,0.0,633.0,30.0,52.0,120.0,143.0,312.0,97.0
2013J,419192,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,Y,Distinction,-38.0,,25.0,67.0,53.0,46.0,88.0,51.0,124.0,45.0,153.0,79.0,207.0,78.0,241.0,89.0,1.0,44.0,0.0,66.0,17.0,17.0,26.0,22.0,72.0,5.0
2013J,419517,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Distinction,-37.0,,8.0,91.0,32.0,82.0,61.0,86.0,102.0,89.0,162.0,86.0,201.0,75.0,237.0,100.0,32.0,327.0,0.0,358.0,0.0,62.0,103.0,61.0,166.0,25.0
2013J,419822,F,North Western Region,Lower Than A Level,40-50%,35-55,0,90,N,Withdrawn,-148.0,-95.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,420650,F,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Withdrawn,-39.0,38.0,,,,,,,,,,,,,,,1.0,0.0,0.0,44.0,41.0,16.0,5.0,3.0,18.0,10.0
2013J,420745,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,1,150,N,Withdrawn,-191.0,-142.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,421301,F,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-106.0,158.0,24.0,40.0,,,,,,,,,,,,,6.0,97.0,0.0,208.0,0.0,121.0,2.0,9.0,41.0,13.0
2013J,422276,F,North Western Region,Lower Than A Level,0-10%,0-35,1,100,N,Pass,-82.0,,24.0,89.0,51.0,73.0,87.0,74.0,121.0,84.0,163.0,55.0,,,237.0,62.0,2.0,39.0,0.0,92.0,0.0,63.0,8.0,55.0,56.0,1.0
2013J,422534,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail,-165.0,,25.0,67.0,60.0,70.0,88.0,86.0,123.0,80.0,173.0,48.0,207.0,45.0,237.0,36.0,10.0,63.0,0.0,124.0,1.0,338.0,30.0,37.0,146.0,2.0
2013J,423147,M,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-51.0,,23.0,70.0,52.0,78.0,86.0,82.0,122.0,69.0,,,,,237.0,44.0,6.0,118.0,0.0,139.0,3.0,74.0,29.0,80.0,58.0,16.0
2013J,423474,F,East Anglian Region,HE Qualification,30-40%,35-55,1,150,N,Withdrawn,-199.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,423876,M,East Midlands Region,Post Graduate Qualification,60-70%,35-55,1,60,N,Fail,-151.0,,-1.0,67.0,,,,,,,,,,,,,0.0,94.0,0.0,31.0,0.0,9.0,31.0,5.0,9.0,0.0
2013J,425543,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,120,N,Withdrawn,-39.0,232.0,34.0,64.0,54.0,56.0,121.0,65.0,,,,,,,237.0,33.0,2.0,322.0,0.0,179.0,5.0,61.0,38.0,54.0,126.0,6.0
2013J,426059,M,North Region,A Level or Equivalent,,0-35,1,80,N,Pass,-32.0,,22.0,88.0,52.0,72.0,85.0,62.0,120.0,88.0,164.0,26.0,204.0,60.0,243.0,56.0,17.0,135.0,0.0,122.0,10.0,84.0,24.0,47.0,90.0,0.0
2013J,426097,M,East Anglian Region,Lower Than A Level,30-40%,0-35,0,120,Y,Withdrawn,-137.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,426887,F,Scotland,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction,-39.0,,12.0,81.0,50.0,91.0,86.0,91.0,122.0,89.0,164.0,81.0,205.0,75.0,242.0,91.0,26.0,727.0,53.0,615.0,34.0,126.0,111.0,160.0,593.0,85.0
2013J,427248,F,North Western Region,A Level or Equivalent,0-10%,35-55,0,120,N,Withdrawn,-70.0,30.0,25.0,,,,,,,,,,,,,,11.0,20.0,0.0,93.0,0.0,58.0,0.0,22.0,62.0,51.0
2013J,427344,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-151.0,,24.0,14.0,52.0,50.0,90.0,35.0,123.0,39.0,165.0,39.0,207.0,42.0,,,1.0,45.0,0.0,55.0,2.0,106.0,47.0,22.0,16.0,3.0
2013J,428321,F,Wales,Lower Than A Level,80-90%,0-35,1,60,N,Fail,-16.0,,29.0,24.0,,,,,,,,,,,,,3.0,7.0,0.0,36.0,0.0,51.0,8.0,5.0,26.0,0.0
2013J,429212,M,South West Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-173.0,,23.0,69.0,51.0,66.0,86.0,69.0,122.0,51.0,164.0,46.0,,,237.0,47.0,16.0,305.0,0.0,285.0,3.0,311.0,42.0,41.0,104.0,2.0
2013J,429854,F,West Midlands Region,No Formal quals,0-10%,0-35,1,70,N,Pass,-64.0,,24.0,76.0,52.0,71.0,86.0,64.0,122.0,41.0,164.0,58.0,206.0,47.0,241.0,60.0,1.0,124.0,0.0,113.0,38.0,257.0,27.0,19.0,34.0,3.0
2013J,430356,M,East Midlands Region,Lower Than A Level,60-70%,35-55,2,90,N,Pass,-109.0,,23.0,68.0,50.0,66.0,82.0,88.0,120.0,54.0,165.0,65.0,206.0,55.0,241.0,58.0,46.0,644.0,3.0,916.0,46.0,289.0,249.0,189.0,612.0,64.0
2013J,431005,M,London Region,A Level or Equivalent,20-30%,0-35,2,180,N,Pass,-23.0,,,,58.0,22.0,88.0,66.0,131.0,25.0,174.0,18.0,232.0,70.0,241.0,62.0,1.0,0.0,0.0,104.0,3.0,45.0,0.0,30.0,112.0,1.0
2013J,432624,M,Wales,Lower Than A Level,70-80%,0-35,2,60,N,Withdrawn,-187.0,166.0,29.0,67.0,53.0,83.0,95.0,72.0,123.0,46.0,,,,,,,3.0,66.0,0.0,72.0,0.0,81.0,24.0,89.0,45.0,5.0
2013J,432862,F,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-185.0,,23.0,70.0,50.0,73.0,87.0,65.0,120.0,61.0,164.0,84.0,,,241.0,24.0,1.0,413.0,4.0,520.0,7.0,144.0,73.0,42.0,260.0,87.0
2013J,432968,F,London Region,Lower Than A Level,30-40%,0-35,0,180,N,Withdrawn,-43.0,206.0,24.0,46.0,66.0,36.0,88.0,49.0,130.0,42.0,165.0,38.0,,,,,1.0,38.0,0.0,75.0,0.0,118.0,3.0,42.0,174.0,5.0
2013J,433508,M,North Region,Lower Than A Level,,35-55,1,60,N,Pass,-29.0,,25.0,78.0,,,88.0,25.0,123.0,39.0,165.0,39.0,212.0,70.0,241.0,73.0,14.0,32.0,0.0,88.0,3.0,24.0,3.0,52.0,151.0,3.0
2013J,433748,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-101.0,,24.0,87.0,53.0,82.0,88.0,75.0,123.0,81.0,165.0,70.0,207.0,66.0,237.0,69.0,4.0,40.0,0.0,120.0,9.0,245.0,34.0,28.0,59.0,2.0
2013J,434159,M,South Region,Lower Than A Level,40-50%,0-35,2,60,N,Fail,-59.0,,25.0,88.0,53.0,66.0,88.0,96.0,,,,,,,,,2.0,31.0,0.0,12.0,0.0,25.0,0.0,0.0,12.0,0.0
2013J,435587,M,North Region,No Formal quals,,0-35,0,150,N,Pass,-26.0,,24.0,90.0,53.0,89.0,88.0,99.0,123.0,95.0,165.0,94.0,207.0,91.0,242.0,80.0,2.0,66.0,0.0,130.0,2.0,149.0,95.0,31.0,169.0,5.0
2013J,437923,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,90,Y,Pass,-43.0,,25.0,53.0,53.0,62.0,88.0,48.0,123.0,18.0,165.0,20.0,207.0,65.0,242.0,56.0,0.0,24.0,0.0,136.0,15.0,144.0,14.0,31.0,70.0,4.0
2013J,438290,F,Scotland,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn,-86.0,115.0,24.0,72.0,53.0,79.0,88.0,78.0,,,,,,,,,3.0,57.0,5.0,94.0,1.0,38.0,36.0,29.0,144.0,10.0
2013J,438751,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-73.0,,23.0,94.0,52.0,85.0,87.0,91.0,122.0,85.0,164.0,92.0,206.0,89.0,242.0,93.0,3.0,470.0,3.0,392.0,9.0,281.0,184.0,64.0,239.0,42.0
2013J,439568,F,South West Region,A Level or Equivalent,50-60%,0-35,0,90,Y,Distinction,-82.0,,24.0,94.0,49.0,91.0,69.0,94.0,120.0,95.0,161.0,86.0,202.0,90.0,237.0,73.0,42.0,384.0,326.0,669.0,0.0,252.0,170.0,115.0,724.0,72.0
2013J,439713,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,90,N,Fail,-124.0,,15.0,66.0,32.0,77.0,98.0,52.0,121.0,47.0,164.0,64.0,,,237.0,36.0,4.0,234.0,0.0,275.0,7.0,227.0,71.0,56.0,263.0,24.0
2013J,439855,M,Scotland,A Level or Equivalent,60-70%,35-55,0,90,N,Pass,-73.0,,15.0,91.0,48.0,88.0,85.0,96.0,123.0,92.0,165.0,93.0,207.0,64.0,242.0,78.0,18.0,239.0,13.0,336.0,3.0,53.0,90.0,39.0,243.0,54.0
2013J,440003,F,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-50.0,,24.0,37.0,53.0,52.0,88.0,66.0,123.0,30.0,165.0,38.0,214.0,56.0,241.0,40.0,39.0,750.0,0.0,1134.0,23.0,561.0,369.0,161.0,807.0,78.0
2013J,441342,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,-81.0,,24.0,79.0,49.0,54.0,86.0,90.0,128.0,49.0,165.0,52.0,206.0,54.0,241.0,64.0,10.0,367.0,9.0,531.0,40.0,535.0,109.0,127.0,374.0,37.0
2013J,441444,M,South Region,Lower Than A Level,10-20,35-55,0,90,N,Pass,-192.0,,24.0,65.0,52.0,60.0,85.0,70.0,120.0,28.0,162.0,30.0,204.0,46.0,237.0,33.0,6.0,180.0,0.0,495.0,4.0,464.0,155.0,93.0,292.0,38.0
2013J,441885,F,West Midlands Region,Lower Than A Level,10-20,0-35,1,60,N,Fail,-192.0,,-1.0,74.0,-1.0,73.0,-1.0,75.0,125.0,90.0,169.0,74.0,,,237.0,36.0,0.0,104.0,0.0,144.0,9.0,69.0,77.0,36.0,281.0,56.0
2013J,441892,M,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,-50.0,,24.0,78.0,53.0,81.0,87.0,73.0,128.0,51.0,165.0,48.0,,,237.0,31.0,4.0,41.0,0.0,164.0,3.0,222.0,24.0,28.0,100.0,0.0
2013J,442530,M,South East Region,Lower Than A Level,90-100%,0-35,0,120,Y,Withdrawn,-56.0,10.0,,,,,,,,,,,,,,,4.0,42.0,9.0,84.0,2.0,34.0,1.0,15.0,71.0,6.0
2013J,442547,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,90,N,Fail,-90.0,,28.0,66.0,53.0,63.0,87.0,56.0,107.0,73.0,165.0,27.0,206.0,56.0,237.0,36.0,5.0,64.0,0.0,193.0,2.0,156.0,23.0,24.0,190.0,7.0
2013J,442589,F,London Region,Lower Than A Level,30-40%,0-35,0,90,N,Pass,-53.0,,23.0,89.0,52.0,74.0,87.0,77.0,122.0,68.0,164.0,81.0,207.0,68.0,241.0,56.0,4.0,28.0,0.0,197.0,2.0,293.0,127.0,43.0,125.0,12.0
2013J,442590,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Fail,-114.0,,24.0,86.0,52.0,85.0,87.0,76.0,121.0,63.0,164.0,74.0,205.0,44.0,242.0,33.0,33.0,1132.0,62.0,976.0,41.0,110.0,248.0,194.0,968.0,122.0
2013J,442878,F,North Region,A Level or Equivalent,50-60%,0-35,0,120,N,Fail,-107.0,,25.0,84.0,60.0,87.0,88.0,86.0,123.0,60.0,,,207.0,43.0,242.0,40.0,2.0,86.0,0.0,197.0,2.0,48.0,26.0,27.0,140.0,36.0
2013J,442924,M,North Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-45.0,,24.0,82.0,52.0,89.0,87.0,93.0,122.0,92.0,165.0,82.0,206.0,95.0,242.0,82.0,4.0,252.0,0.0,179.0,4.0,86.0,65.0,44.0,163.0,24.0
2013J,443400,F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-29.0,,33.0,35.0,60.0,76.0,88.0,79.0,137.0,62.0,,,,,,,3.0,36.0,0.0,59.0,0.0,31.0,26.0,8.0,38.0,1.0
2013J,443438,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,-176.0,,29.0,71.0,61.0,64.0,89.0,64.0,124.0,34.0,164.0,64.0,,,241.0,36.0,7.0,67.0,18.0,193.0,2.0,104.0,39.0,23.0,103.0,8.0
2013J,443540,F,Wales,Lower Than A Level,40-50%,0-35,0,120,Y,Withdrawn,-67.0,173.0,25.0,40.0,53.0,13.0,88.0,56.0,123.0,57.0,,,,,,,3.0,81.0,0.0,123.0,2.0,77.0,17.0,10.0,21.0,1.0
2013J,443731,M,South East Region,HE Qualification,20-30%,0-35,0,60,N,Pass,-39.0,,25.0,98.0,52.0,94.0,88.0,100.0,123.0,31.0,169.0,59.0,,,237.0,42.0,2.0,21.0,0.0,110.0,0.0,295.0,31.0,41.0,93.0,1.0
2013J,444063,F,London Region,Lower Than A Level,0-10%,0-35,1,60,N,Fail,-32.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2013J,444317,F,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-148.0,,22.0,61.0,53.0,57.0,88.0,84.0,123.0,53.0,165.0,63.0,207.0,48.0,241.0,60.0,39.0,379.0,2.0,637.0,50.0,203.0,104.0,146.0,500.0,73.0
2013J,444375,M,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-157.0,,21.0,87.0,49.0,85.0,84.0,94.0,119.0,87.0,158.0,79.0,199.0,77.0,241.0,80.0,5.0,796.0,0.0,733.0,49.0,331.0,152.0,60.0,212.0,46.0
2013J,444541,F,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-143.0,123.0,25.0,33.0,,,,,,,,,,,,,1.0,34.0,0.0,35.0,0.0,27.0,4.0,10.0,51.0,5.0
2013J,444847,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,90,N,Withdrawn,-35.0,169.0,,,,,89.0,38.0,,,,,,,,,2.0,13.0,0.0,17.0,0.0,34.0,1.0,0.0,6.0,1.0
2013J,444909,M,Scotland,Lower Than A Level,20-30%,0-35,1,60,N,Fail,-122.0,,,,,,,,,,,,,,,,1.0,46.0,0.0,21.0,1.0,3.0,0.0,3.0,23.0,3.0
2013J,445109,F,Scotland,HE Qualification,90-100%,0-35,0,60,N,Fail,-53.0,,22.0,94.0,52.0,83.0,79.0,84.0,121.0,82.0,163.0,92.0,206.0,62.0,242.0,38.0,14.0,560.0,3.0,335.0,8.0,104.0,110.0,40.0,200.0,22.0
2013J,445386,F,South East Region,Lower Than A Level,80-90%,0-35,1,60,N,Pass,-59.0,,23.0,77.0,52.0,74.0,87.0,72.0,122.0,71.0,164.0,72.0,208.0,66.0,237.0,78.0,26.0,165.0,3.0,234.0,16.0,94.0,59.0,40.0,133.0,6.0
2013J,445749,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-78.0,58.0,24.0,66.0,,,,,,,,,,,,,1.0,12.0,0.0,55.0,0.0,55.0,28.0,7.0,21.0,5.0
2013J,445785,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-39.0,163.0,25.0,69.0,,,,,122.0,13.0,,,,,,,3.0,143.0,1.0,39.0,0.0,37.0,20.0,14.0,64.0,2.0
2013J,445917,M,North Western Region,HE Qualification,90-100%,0-35,0,90,N,Distinction,-52.0,,25.0,85.0,52.0,92.0,87.0,97.0,121.0,92.0,164.0,91.0,207.0,90.0,237.0,96.0,27.0,246.0,9.0,385.0,19.0,106.0,127.0,111.0,457.0,58.0
2013J,445930,M,South West Region,A Level or Equivalent,60-70%,0-35,1,120,N,Pass,-53.0,,27.0,79.0,53.0,79.0,89.0,92.0,123.0,89.0,172.0,83.0,214.0,60.0,241.0,82.0,3.0,16.0,7.0,92.0,4.0,59.0,36.0,37.0,128.0,16.0
2013J,446246,M,Scotland,HE Qualification,60-70%,0-35,0,120,N,Distinction,-87.0,,18.0,91.0,51.0,94.0,84.0,100.0,118.0,91.0,162.0,93.0,204.0,85.0,242.0,96.0,44.0,458.0,0.0,428.0,13.0,96.0,74.0,63.0,299.0,27.0
2013J,446279,F,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,90,N,Pass,-45.0,,5.0,83.0,42.0,80.0,69.0,92.0,104.0,79.0,153.0,80.0,201.0,77.0,237.0,80.0,34.0,1246.0,0.0,663.0,22.0,275.0,318.0,100.0,404.0,29.0
2013J,446448,F,South West Region,A Level or Equivalent,10-20,0-35,0,60,Y,Withdrawn,-86.0,76.0,23.0,81.0,50.0,76.0,,,,,,,,,,,2.0,77.0,0.0,78.0,2.0,37.0,13.0,7.0,45.0,13.0
2013J,447059,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-87.0,,25.0,85.0,53.0,87.0,91.0,67.0,130.0,55.0,165.0,62.0,207.0,62.0,237.0,76.0,5.0,741.0,4.0,48.0,17.0,65.0,80.0,37.0,209.0,14.0
2013J,464924,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-179.0,,16.0,89.0,45.0,79.0,67.0,89.0,115.0,88.0,150.0,86.0,199.0,75.0,237.0,76.0,38.0,1305.0,8.0,565.0,32.0,162.0,249.0,135.0,588.0,21.0
