code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,clicks_dualpane,clicks_forumng,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
2013J,587382,M,North Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-86.0,,36.0,70.0,67.0,74.0,,,,,9.0,131.0,97.0,0.0,168.0,0.0,0.0,4.0,4.0,52.0,34.0
2013J,587547,M,Yorkshire Region,A Level or Equivalent,0-10%,35-55,0,30,N,Pass,-102.0,,29.0,79.0,87.0,68.0,124.0,70.0,176.0,71.0,2.0,50.0,282.0,1.0,942.0,235.0,0.0,250.0,12.0,7.0,49.0
2013J,587616,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-117.0,,33.0,85.0,68.0,69.0,124.0,52.0,159.0,76.0,7.0,34.0,179.0,0.0,666.0,187.0,0.0,139.0,15.0,26.0,17.0
2013J,587621,F,London Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-121.0,,32.0,79.0,67.0,68.0,123.0,73.0,158.0,63.0,0.0,375.0,290.0,0.0,706.0,206.0,0.0,260.0,5.0,36.0,31.0
2013J,587677,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,-102.0,234.0,31.0,77.0,75.0,83.0,124.0,93.0,159.0,71.0,4.0,23.0,544.0,1.0,1092.0,337.0,0.0,211.0,7.0,19.0,55.0
2013J,587682,M,South West Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-113.0,,29.0,87.0,67.0,94.0,119.0,88.0,158.0,88.0,4.0,4.0,167.0,1.0,330.0,23.0,0.0,113.0,4.0,14.0,56.0
2013J,587714,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction,-36.0,,32.0,83.0,68.0,92.0,124.0,87.0,157.0,80.0,9.0,216.0,384.0,4.0,341.0,213.0,0.0,160.0,15.0,75.0,59.0
2013J,587884,M,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,-80.0,131.0,33.0,85.0,68.0,74.0,,,,,3.0,73.0,99.0,1.0,370.0,0.0,0.0,114.0,1.0,15.0,9.0
2013J,587906,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Distinction,-59.0,,24.0,98.0,64.0,97.0,120.0,100.0,157.0,100.0,7.0,1870.0,960.0,0.0,1086.0,484.0,0.0,185.0,24.0,119.0,101.0
2013J,587911,M,North Western Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,-22.0,,33.0,94.0,68.0,89.0,125.0,92.0,159.0,58.0,3.0,445.0,351.0,1.0,1074.0,146.0,0.0,197.0,27.0,60.0,57.0
2013J,588125,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,-102.0,,32.0,97.0,66.0,87.0,120.0,79.0,158.0,84.0,6.0,718.0,406.0,5.0,1524.0,413.0,0.0,215.0,19.0,53.0,104.0
2013J,588231,M,London Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-109.0,,33.0,75.0,68.0,74.0,124.0,76.0,158.0,76.0,8.0,69.0,595.0,1.0,1180.0,262.0,0.0,211.0,155.0,62.0,60.0
2013J,588280,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-117.0,,33.0,97.0,68.0,94.0,124.0,86.0,159.0,88.0,6.0,1079.0,458.0,10.0,937.0,525.0,0.0,141.0,33.0,93.0,67.0
2013J,588383,M,Wales,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,-45.0,-11.0,,,,,,,,,,,,,,,,,,,
2013J,588402,M,Wales,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-74.0,,30.0,96.0,65.0,92.0,123.0,85.0,163.0,98.0,3.0,37.0,184.0,0.0,621.0,50.0,0.0,125.0,7.0,19.0,44.0
2013J,588442,M,North Western Region,Lower Than A Level,0-10%,0-35,0,90,N,Pass,-116.0,,32.0,61.0,67.0,77.0,124.0,51.0,171.0,69.0,4.0,143.0,156.0,0.0,468.0,141.0,0.0,123.0,4.0,7.0,14.0
2013J,588502,M,East Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,-116.0,,31.0,94.0,66.0,84.0,122.0,88.0,157.0,91.0,2.0,109.0,291.0,0.0,604.0,221.0,0.0,202.0,7.0,14.0,41.0
2013J,588524,M,Scotland,HE Qualification,70-80%,0-35,0,60,N,Distinction,-115.0,,30.0,95.0,65.0,88.0,121.0,82.0,159.0,93.0,1.0,185.0,235.0,0.0,688.0,224.0,0.0,201.0,11.0,30.0,77.0
2013J,588583,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Fail,-89.0,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
2013J,588628,M,South West Region,A Level or Equivalent,60-70%,55<=,0,60,N,Distinction,-115.0,,31.0,81.0,65.0,95.0,120.0,90.0,158.0,85.0,6.0,928.0,349.0,13.0,1284.0,214.0,1.0,158.0,18.0,93.0,57.0
2013J,588676,M,Scotland,HE Qualification,80-90%,0-35,0,90,N,Pass,-107.0,,31.0,79.0,67.0,71.0,123.0,85.0,159.0,84.0,10.0,185.0,375.0,0.0,1107.0,185.0,0.0,193.0,16.0,44.0,57.0
2013J,588694,M,North Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-115.0,-75.0,,,,,,,,,,,,,,,,,,,
2013J,588706,M,London Region,Lower Than A Level,60-70%,0-35,0,90,N,Withdrawn,-113.0,23.0,,,,,,,,,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2013J,588710,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-95.0,,26.0,87.0,74.0,86.0,123.0,85.0,158.0,64.0,5.0,381.0,114.0,1.0,315.0,69.0,0.0,146.0,12.0,23.0,34.0
2013J,588835,M,Scotland,Lower Than A Level,50-60%,0-35,0,30,N,Pass,-102.0,,38.0,36.0,67.0,52.0,127.0,58.0,159.0,0.0,2.0,18.0,12.0,0.0,675.0,83.0,0.0,76.0,3.0,4.0,8.0
2013J,588852,M,London Region,Lower Than A Level,40-50%,0-35,0,90,N,Withdrawn,-100.0,10.0,,,,,,,,,,,,,,,,,,,
2013J,588942,M,West Midlands Region,HE Qualification,90-100%,0-35,0,60,N,Fail,-113.0,,32.0,69.0,72.0,85.0,134.0,69.0,158.0,91.0,1.0,96.0,116.0,0.0,289.0,39.0,0.0,118.0,2.0,10.0,15.0
2013J,588974,M,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,-99.0,0.0,,,,,,,,,0.0,3.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,4.0,2.0
2013J,589018,M,Scotland,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,-53.0,107.0,32.0,51.0,68.0,67.0,,,,,4.0,8.0,53.0,0.0,389.0,0.0,0.0,2.0,0.0,7.0,0.0
2013J,589023,M,North Region,A Level or Equivalent,,0-35,0,60,N,Withdrawn,-106.0,100.0,,,,,,,,,4.0,36.0,37.0,1.0,228.0,0.0,0.0,62.0,12.0,7.0,3.0
2013J,589055,F,North Region,Lower Than A Level,,0-35,0,60,N,Fail,-95.0,,33.0,44.0,68.0,65.0,,,159.0,41.0,2.0,215.0,52.0,1.0,311.0,5.0,0.0,131.0,3.0,65.0,14.0
2013J,589211,M,Scotland,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,-74.0,,30.0,85.0,68.0,76.0,123.0,76.0,159.0,76.0,4.0,99.0,255.0,0.0,863.0,391.0,0.0,204.0,5.0,7.0,19.0
2013J,589327,M,Scotland,HE Qualification,70-80%,0-35,0,60,N,Pass,-31.0,,33.0,100.0,68.0,79.0,124.0,76.0,159.0,73.0,2.0,101.0,246.0,0.0,759.0,140.0,0.0,237.0,5.0,8.0,15.0
2013J,589380,M,Wales,HE Qualification,10-20,0-35,0,60,N,Distinction,-72.0,,30.0,91.0,68.0,94.0,124.0,88.0,159.0,81.0,6.0,701.0,278.0,0.0,866.0,265.0,0.0,161.0,6.0,15.0,55.0
2013J,589472,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn,-109.0,0.0,,,,,,,,,,,,,,,,,,,
2013J,589484,M,North Western Region,Lower Than A Level,0-10%,0-35,0,30,N,Withdrawn,-56.0,-9.0,,,,,,,,,,,,,,,,,,,
2013J,589506,M,North Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-51.0,,31.0,75.0,68.0,72.0,124.0,38.0,159.0,27.0,5.0,9.0,91.0,0.0,260.0,9.0,0.0,126.0,0.0,12.0,36.0
2013J,589517,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn,-100.0,115.0,32.0,98.0,68.0,92.0,,,,,4.0,362.0,168.0,0.0,392.0,0.0,0.0,106.0,17.0,37.0,4.0
2013J,589555,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,90,N,Withdrawn,2.0,11.0,,,,,,,,,0.0,6.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
2013J,589799,M,Wales,Lower Than A Level,80-90%,0-35,0,30,N,Fail,-60.0,,,,,,,,,,0.0,51.0,11.0,0.0,90.0,0.0,0.0,28.0,0.0,10.0,4.0
2013J,589856,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-108.0,227.0,32.0,97.0,,,,,,,3.0,62.0,116.0,1.0,439.0,0.0,0.0,172.0,1.0,7.0,33.0
2013J,589894,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-95.0,,32.0,86.0,67.0,71.0,123.0,55.0,158.0,94.0,4.0,194.0,239.0,1.0,667.0,74.0,0.0,166.0,9.0,27.0,33.0
2013J,589902,M,South East Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,-108.0,,30.0,96.0,76.0,92.0,122.0,79.0,155.0,89.0,7.0,663.0,639.0,22.0,1404.0,769.0,0.0,137.0,8.0,40.0,94.0
2013J,590017,M,East Anglian Region,HE Qualification,80-90%,0-35,0,30,N,Distinction,-38.0,,31.0,94.0,66.0,87.0,117.0,89.0,158.0,88.0,6.0,5.0,81.0,0.0,379.0,410.0,0.0,80.0,2.0,1.0,0.0
2013J,590072,M,Scotland,A Level or Equivalent,70-80%,0-35,0,90,N,Fail,-32.0,,,,,,,,,,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2013J,590436,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Withdrawn,-100.0,74.0,,,,,,,,,0.0,0.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
2013J,590626,M,Scotland,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-95.0,,32.0,68.0,68.0,74.0,123.0,82.0,158.0,61.0,14.0,1706.0,444.0,0.0,1244.0,239.0,0.0,225.0,27.0,40.0,54.0
2013J,590744,F,Scotland,HE Qualification,10-20,0-35,0,60,N,Pass,-85.0,,25.0,81.0,64.0,78.0,120.0,66.0,156.0,85.0,34.0,685.0,534.0,1.0,1415.0,206.0,0.0,252.0,16.0,87.0,113.0
2013J,590877,M,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-86.0,,31.0,84.0,68.0,94.0,124.0,91.0,157.0,88.0,10.0,193.0,216.0,0.0,576.0,102.0,0.0,109.0,39.0,8.0,49.0
2013J,590882,M,South Region,Lower Than A Level,70-80%,0-35,0,30,N,Pass,-81.0,,33.0,77.0,69.0,75.0,124.0,79.0,158.0,74.0,0.0,403.0,207.0,0.0,769.0,229.0,0.0,118.0,9.0,26.0,28.0
2013J,590942,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-102.0,-73.0,,,,,,,,,,,,,,,,,,,
2013J,590961,M,Scotland,A Level or Equivalent,80-90%,0-35,0,90,N,Withdrawn,-102.0,230.0,31.0,74.0,67.0,86.0,123.0,72.0,158.0,62.0,2.0,17.0,96.0,0.0,441.0,85.0,0.0,83.0,0.0,4.0,13.0
2013J,591021,M,Ireland,Lower Than A Level,,0-35,0,60,N,Distinction,-32.0,,30.0,89.0,66.0,95.0,121.0,91.0,158.0,95.0,4.0,613.0,347.0,0.0,696.0,313.0,0.0,164.0,7.0,12.0,85.0
2013J,591165,M,Scotland,Lower Than A Level,10-20,0-35,0,30,N,Fail,-79.0,,32.0,87.0,,,,,,,1.0,165.0,171.0,0.0,338.0,21.0,0.0,94.0,13.0,2.0,13.0
2013J,591178,M,Yorkshire Region,HE Qualification,60-70%,0-35,0,30,N,Withdrawn,-59.0,-22.0,,,,,,,,,,,,,,,,,,,
2013J,591375,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Distinction,-85.0,,30.0,98.0,67.0,97.0,124.0,95.0,159.0,96.0,3.0,961.0,373.0,0.0,404.0,145.0,0.0,147.0,14.0,30.0,104.0
2013J,591388,M,West Midlands Region,HE Qualification,60-70%,0-35,0,60,N,Distinction,-99.0,,31.0,97.0,67.0,90.0,122.0,87.0,157.0,86.0,2.0,445.0,1266.0,12.0,1098.0,757.0,0.0,168.0,13.0,62.0,146.0
2013J,591398,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,-43.0,9.0,,,,,,,,,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0
2013J,591424,M,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Withdrawn,-88.0,129.0,32.0,90.0,67.0,93.0,,,,,3.0,333.0,173.0,0.0,583.0,0.0,0.0,97.0,0.0,13.0,27.0
2013J,591566,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,-100.0,,32.0,81.0,67.0,80.0,123.0,74.0,159.0,71.0,4.0,172.0,281.0,1.0,784.0,416.0,0.0,227.0,21.0,54.0,40.0
2013J,591719,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn,-87.0,130.0,32.0,86.0,,,,,,,3.0,193.0,192.0,0.0,332.0,0.0,0.0,101.0,3.0,8.0,31.0
2013J,591869,M,North Region,HE Qualification,,0-35,0,30,N,Pass,-44.0,,33.0,83.0,68.0,72.0,124.0,79.0,160.0,65.0,6.0,601.0,574.0,12.0,1143.0,456.0,0.0,230.0,57.0,77.0,81.0
2013J,591942,M,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-100.0,,31.0,89.0,68.0,90.0,123.0,91.0,158.0,74.0,5.0,1782.0,1093.0,0.0,1924.0,542.0,0.0,234.0,5.0,13.0,78.0
2013J,591944,M,North Region,Lower Than A Level,40-50%,0-35,0,90,N,Fail,-95.0,,18.0,67.0,66.0,79.0,121.0,54.0,,,2.0,48.0,170.0,2.0,336.0,124.0,0.0,91.0,2.0,37.0,23.0
2013J,591958,M,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Distinction,-72.0,,32.0,99.0,67.0,96.0,123.0,96.0,156.0,95.0,3.0,295.0,405.0,1.0,959.0,635.0,0.0,151.0,6.0,42.0,45.0
2013J,591995,M,Scotland,A Level or Equivalent,40-50%,0-35,0,30,N,Pass,-71.0,,32.0,93.0,68.0,88.0,122.0,77.0,159.0,77.0,13.0,105.0,226.0,0.0,845.0,308.0,0.0,251.0,12.0,22.0,40.0
2013J,592003,M,Ireland,A Level or Equivalent,,0-35,0,60,N,Pass,-35.0,,29.0,85.0,62.0,94.0,123.0,86.0,163.0,95.0,1.0,61.0,199.0,0.0,412.0,258.0,1.0,116.0,20.0,72.0,22.0
2013J,592051,M,Scotland,HE Qualification,50-60%,35-55,0,120,Y,Pass,-28.0,,29.0,65.0,61.0,69.0,123.0,68.0,158.0,69.0,18.0,1790.0,1515.0,2.0,2723.0,892.0,0.0,123.0,55.0,114.0,348.0
2013J,592172,M,North Western Region,Lower Than A Level,70-80%,0-35,0,90,N,Fail,-66.0,,35.0,47.0,68.0,47.0,,,,,7.0,3.0,53.0,0.0,154.0,0.0,0.0,107.0,9.0,6.0,1.0
2013J,592250,M,Scotland,HE Qualification,90-100%,0-35,0,30,N,Pass,-30.0,,32.0,86.0,67.0,87.0,124.0,85.0,159.0,83.0,2.0,107.0,17.0,0.0,346.0,73.0,0.0,108.0,4.0,4.0,7.0
2013J,592581,F,North Western Region,Lower Than A Level,,0-35,0,30,N,Withdrawn,-95.0,27.0,,,,,,,,,0.0,22.0,24.0,0.0,37.0,0.0,0.0,151.0,1.0,6.0,4.0
2013J,592609,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction,-95.0,,41.0,99.0,68.0,86.0,121.0,89.0,158.0,97.0,3.0,90.0,315.0,4.0,966.0,558.0,0.0,178.0,392.0,51.0,45.0
2013J,592787,M,East Midlands Region,Lower Than A Level,90-100%,35-55,0,30,N,Pass,-49.0,,32.0,87.0,67.0,79.0,123.0,87.0,158.0,92.0,2.0,183.0,522.0,0.0,596.0,430.0,0.0,218.0,6.0,14.0,144.0
2013J,592791,M,East Midlands Region,HE Qualification,40-50%,0-35,0,30,N,Fail,-22.0,,33.0,75.0,68.0,61.0,142.0,46.0,165.0,40.0,8.0,1.0,111.0,0.0,326.0,14.0,0.0,156.0,8.0,55.0,16.0
2013J,592842,M,Scotland,HE Qualification,30-40%,0-35,0,120,N,Fail,-35.0,,37.0,97.0,68.0,93.0,,,,,14.0,21.0,92.0,0.0,322.0,0.0,0.0,148.0,0.0,14.0,5.0
2013J,592895,F,North Region,Post Graduate Qualification,,0-35,0,30,N,Distinction,-86.0,,33.0,93.0,68.0,88.0,128.0,97.0,158.0,90.0,4.0,187.0,186.0,5.0,475.0,21.0,0.0,106.0,6.0,20.0,6.0
2013J,592961,M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,Distinction,-53.0,,30.0,99.0,65.0,98.0,121.0,95.0,159.0,99.0,3.0,1002.0,521.0,5.0,3210.0,748.0,0.0,183.0,28.0,196.0,155.0
2013J,592997,M,London Region,HE Qualification,40-50%,35-55,0,60,N,Pass,-28.0,,32.0,79.0,68.0,53.0,124.0,77.0,159.0,77.0,7.0,254.0,405.0,1.0,1309.0,191.0,0.0,272.0,12.0,163.0,57.0
2013J,593348,M,North Region,Post Graduate Qualification,,0-35,0,60,N,Withdrawn,-66.0,39.0,,,,,,,,,1.0,1.0,15.0,0.0,52.0,0.0,0.0,4.0,1.0,8.0,1.0
2013J,593362,M,Scotland,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,-91.0,60.0,31.0,68.0,,,,,,,4.0,11.0,48.0,1.0,201.0,0.0,0.0,4.0,2.0,11.0,9.0
2013J,593400,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,-31.0,,32.0,57.0,,,,,,,4.0,16.0,58.0,2.0,172.0,0.0,0.0,150.0,0.0,10.0,3.0
2013J,593487,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Pass,-84.0,,32.0,90.0,66.0,80.0,124.0,81.0,159.0,60.0,4.0,78.0,161.0,0.0,295.0,142.0,0.0,215.0,3.0,45.0,22.0
2013J,593534,M,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,-37.0,,32.0,65.0,68.0,69.0,125.0,41.0,159.0,54.0,1.0,159.0,203.0,14.0,567.0,52.0,0.0,207.0,16.0,27.0,22.0
2013J,593587,M,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-57.0,,33.0,69.0,67.0,82.0,123.0,77.0,158.0,90.0,2.0,3.0,120.0,0.0,537.0,277.0,0.0,94.0,10.0,16.0,12.0
2013J,593787,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-35.0,,33.0,46.0,68.0,42.0,122.0,23.0,159.0,41.0,1.0,34.0,101.0,0.0,289.0,138.0,0.0,217.0,3.0,5.0,12.0
2013J,593845,M,North Western Region,Lower Than A Level,50-60%,0-35,0,60,N,Fail,-81.0,,,,,,,,,,0.0,2.0,16.0,0.0,29.0,0.0,0.0,80.0,0.0,2.0,0.0
2013J,593924,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction,-78.0,,30.0,94.0,52.0,85.0,123.0,88.0,158.0,88.0,8.0,6727.0,2324.0,3.0,2136.0,1383.0,1.0,194.0,57.0,208.0,341.0
2013J,594111,M,Wales,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-53.0,,39.0,80.0,71.0,66.0,125.0,56.0,166.0,53.0,3.0,39.0,120.0,0.0,304.0,43.0,0.0,118.0,6.0,15.0,19.0
2013J,594157,M,South Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-57.0,,31.0,94.0,66.0,89.0,123.0,91.0,157.0,82.0,19.0,820.0,605.0,3.0,1020.0,814.0,0.0,285.0,27.0,29.0,99.0
2013J,594199,M,South East Region,A Level or Equivalent,20-30%,0-35,0,90,Y,Pass,-59.0,,32.0,94.0,66.0,92.0,122.0,90.0,158.0,90.0,3.0,831.0,529.0,9.0,1730.0,377.0,0.0,203.0,32.0,65.0,85.0
2013J,594233,M,North Region,A Level or Equivalent,20-30%,0-35,0,90,N,Fail,-37.0,,32.0,92.0,,,,,,,1.0,5.0,22.0,0.0,111.0,0.0,0.0,2.0,0.0,1.0,2.0
2013J,594246,M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Fail,-84.0,,32.0,96.0,65.0,89.0,124.0,73.0,,,1.0,484.0,162.0,0.0,363.0,10.0,0.0,71.0,81.0,30.0,24.0
2013J,594399,M,Scotland,Lower Than A Level,60-70%,0-35,0,30,N,Pass,-79.0,,30.0,72.0,67.0,77.0,124.0,74.0,155.0,83.0,2.0,145.0,233.0,0.0,611.0,140.0,0.0,209.0,15.0,36.0,33.0
2013J,594431,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-31.0,,29.0,91.0,67.0,93.0,123.0,92.0,156.0,93.0,4.0,36.0,244.0,1.0,903.0,418.0,0.0,166.0,7.0,24.0,64.0
2013J,594452,M,Scotland,HE Qualification,90-100%,0-35,0,60,N,Fail,-65.0,,32.0,42.0,,,,,,,2.0,42.0,77.0,0.0,189.0,0.0,0.0,83.0,0.0,12.0,7.0
2013J,594458,M,North Western Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-74.0,,,,,,,,,,,,,,,,,,,,
2013J,594517,M,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-88.0,,37.0,82.0,68.0,66.0,136.0,90.0,160.0,86.0,3.0,30.0,63.0,0.0,286.0,352.0,0.0,2.0,3.0,20.0,9.0
2013J,594602,M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,90,N,Fail,-63.0,,33.0,58.0,,,,,,,0.0,31.0,103.0,1.0,214.0,0.0,0.0,1.0,36.0,22.0,2.0
2013J,594755,M,North Region,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn,-22.0,0.0,,,,,,,,,0.0,34.0,23.0,0.0,51.0,0.0,0.0,76.0,0.0,3.0,3.0
2013J,594851,M,Scotland,Lower Than A Level,30-40%,0-35,0,90,N,Fail,-78.0,,,,,,,,,,0.0,7.0,14.0,0.0,30.0,0.0,0.0,2.0,0.0,1.0,0.0
2013J,594864,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,30,N,Fail,-57.0,,32.0,84.0,66.0,76.0,122.0,77.0,,,8.0,177.0,180.0,6.0,449.0,0.0,0.0,94.0,3.0,10.0,30.0
2013J,594976,M,Scotland,HE Qualification,10-20,0-35,0,30,N,Pass,-87.0,,31.0,80.0,67.0,88.0,122.0,80.0,159.0,87.0,7.0,14.0,76.0,0.0,606.0,183.0,0.0,183.0,7.0,6.0,9.0
2013J,595077,M,Ireland,HE Qualification,,35-55,0,60,N,Withdrawn,-36.0,-15.0,,,,,,,,,,,,,,,,,,,
2013J,595100,M,Scotland,Post Graduate Qualification,80-90%,35-55,0,60,N,Withdrawn,-35.0,-5.0,,,,,,,,,0.0,0.0,2.0,0.0,29.0,0.0,0.0,1.0,0.0,1.0,0.0
2013J,595182,M,Scotland,HE Qualification,70-80%,0-35,0,90,N,Distinction,-30.0,,24.0,88.0,67.0,92.0,122.0,90.0,158.0,89.0,5.0,869.0,998.0,0.0,1125.0,565.0,0.0,166.0,10.0,19.0,130.0
2013J,595189,M,Scotland,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-24.0,,32.0,94.0,68.0,98.0,123.0,94.0,159.0,100.0,11.0,4148.0,1418.0,2.0,852.0,361.0,2.0,121.0,25.0,94.0,110.0
2013J,595244,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,90,N,Pass,-62.0,,31.0,87.0,67.0,88.0,123.0,90.0,158.0,99.0,3.0,99.0,509.0,0.0,1233.0,545.0,0.0,221.0,76.0,21.0,69.0
2013J,595362,M,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-62.0,6.0,,,,,,,,,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2013J,595453,M,London Region,Lower Than A Level,10-20,0-35,0,30,N,Withdrawn,-36.0,0.0,,,,,,,,,,,,,,,,,,,
2013J,595492,M,South East Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-80.0,,30.0,85.0,66.0,88.0,122.0,82.0,160.0,75.0,2.0,27.0,185.0,8.0,510.0,204.0,0.0,131.0,5.0,12.0,49.0
2013J,595515,M,Wales,A Level or Equivalent,40-50%,35-55,0,30,N,Fail,-84.0,,,,,,,,,,1.0,1.0,7.0,0.0,70.0,0.0,0.0,2.0,6.0,5.0,1.0
2013J,595553,M,North Region,HE Qualification,,0-35,0,30,N,Pass,-45.0,,32.0,89.0,68.0,96.0,124.0,95.0,159.0,98.0,11.0,1175.0,672.0,13.0,1466.0,283.0,0.0,187.0,51.0,113.0,63.0
2013J,595781,F,North Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-81.0,,33.0,93.0,64.0,81.0,119.0,82.0,158.0,74.0,12.0,42.0,305.0,0.0,929.0,163.0,0.0,162.0,7.0,23.0,23.0
2013J,595938,M,East Midlands Region,HE Qualification,30-40%,35-55,0,30,N,Pass,-46.0,,32.0,91.0,67.0,90.0,124.0,72.0,158.0,83.0,11.0,1271.0,391.0,3.0,727.0,210.0,0.0,208.0,22.0,70.0,89.0
2013J,595990,F,London Region,Lower Than A Level,30-40%,35-55,0,30,N,Withdrawn,-29.0,0.0,,,,,,,,,0.0,0.0,6.0,0.0,73.0,0.0,0.0,156.0,0.0,1.0,1.0
2013J,596002,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,30,N,Withdrawn,-42.0,234.0,20.0,100.0,89.0,74.0,120.0,91.0,158.0,80.0,2.0,117.0,197.0,0.0,690.0,200.0,0.0,185.0,10.0,5.0,19.0
2013J,596137,M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,30,N,Withdrawn,-31.0,32.0,,,,,,,,,3.0,0.0,31.0,0.0,64.0,0.0,0.0,162.0,0.0,4.0,5.0
2013J,596319,M,North Region,Post Graduate Qualification,,0-35,0,60,N,Pass,-67.0,,30.0,94.0,68.0,92.0,123.0,89.0,159.0,77.0,0.0,20.0,236.0,1.0,598.0,107.0,0.0,133.0,4.0,28.0,17.0
2013J,596321,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-80.0,160.0,32.0,71.0,,,,,,,5.0,150.0,70.0,2.0,452.0,0.0,0.0,135.0,5.0,7.0,11.0
