code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,ass_8_date,ass_8_score,ass_9_date,ass_9_score,ass_10_date,ass_10_score,ass_11_date,ass_11_score,ass_12_date,ass_12_score,clicks_dataplus,clicks_dualpane,clicks_folder,clicks_forumng,clicks_glossary,clicks_homepage,clicks_htmlactivity,clicks_oucollaborate,clicks_oucontent,clicks_ouelluminate,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_repeatactivity,clicks_resource,clicks_subpage,clicks_url
2013B,549596,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,-60.0,,18.0,94.0,46.0,84.0,88.0,90.0,131.0,80.0,,,222.0,83.0,222.0,89.0,222.0,71.0,222.0,79.0,222.0,77.0,222.0,76.0,222.0,88.0,0.0,6.0,,547.0,0.0,273.0,,,746.0,28.0,29.0,7.0,9.0,549.0,,35.0,184.0,20.0
2013B,549626,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,-36.0,,14.0,84.0,46.0,72.0,88.0,81.0,130.0,86.0,165.0,86.0,214.0,78.0,214.0,79.0,214.0,88.0,214.0,89.0,214.0,86.0,222.0,73.0,214.0,91.0,16.0,12.0,,318.0,0.0,511.0,,,1831.0,11.0,72.0,17.0,19.0,1302.0,,62.0,421.0,46.0
2013B,549670,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,10.0,0.0,13.0,,,57.0,0.0,0.0,4.0,0.0,0.0,,0.0,8.0,0.0
2013B,549706,F,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-22.0,,,,47.0,94.0,89.0,91.0,131.0,84.0,166.0,59.0,132.0,82.0,140.0,96.0,140.0,83.0,152.0,77.0,202.0,76.0,207.0,84.0,203.0,83.0,1.0,9.0,,161.0,0.0,295.0,,,1149.0,0.0,35.0,14.0,10.0,599.0,,80.0,261.0,28.0
2013B,549751,M,Scotland,HE Qualification,0-10%,35-55,0,60,N,Fail,-42.0,,19.0,72.0,46.0,68.0,108.0,75.0,151.0,65.0,180.0,20.0,12.0,73.0,167.0,76.0,167.0,64.0,168.0,71.0,168.0,56.0,,,,,1.0,2.0,,440.0,0.0,287.0,,,1043.0,1.0,2.0,14.0,16.0,497.0,,20.0,296.0,14.0
2013B,549790,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-30.0,,10.0,86.0,43.0,92.0,72.0,85.0,121.0,84.0,191.0,77.0,18.0,80.0,18.0,90.0,59.0,85.0,122.0,82.0,158.0,84.0,208.0,82.0,220.0,70.0,0.0,6.0,,329.0,0.0,643.0,,,1777.0,28.0,38.0,11.0,13.0,665.0,,29.0,503.0,76.0
2013B,549792,M,East Anglian Region,HE Qualification,70-80%,0-35,0,90,N,Withdrawn,-60.0,167.0,19.0,70.0,47.0,76.0,94.0,53.0,,,,,591.0,84.0,592.0,73.0,591.0,69.0,,,,,,,,,0.0,0.0,,168.0,0.0,159.0,,,305.0,3.0,25.0,6.0,0.0,51.0,,34.0,84.0,16.0
2013B,549825,M,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-73.0,,18.0,84.0,46.0,20.0,93.0,59.0,135.0,55.0,166.0,10.0,216.0,88.0,216.0,82.0,220.0,86.0,220.0,29.0,,,223.0,70.0,,,0.0,0.0,,177.0,0.0,153.0,,,493.0,32.0,3.0,2.0,0.0,422.0,,27.0,197.0,19.0
2013B,549898,M,North Region,Lower Than A Level,,0-35,0,60,N,Pass,-65.0,,17.0,82.0,46.0,84.0,94.0,69.0,131.0,77.0,167.0,80.0,25.0,83.0,47.0,100.0,98.0,78.0,136.0,73.0,171.0,82.0,220.0,86.0,220.0,75.0,0.0,3.0,,351.0,0.0,427.0,,,919.0,3.0,21.0,14.0,6.0,556.0,,23.0,300.0,37.0
2013B,549904,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0
2013B,550024,M,London Region,Lower Than A Level,20-30%,35-55,0,60,N,Withdrawn,-36.0,103.0,18.0,72.0,47.0,50.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,638.0,0.0,375.0,,,1145.0,13.0,79.0,29.0,15.0,307.0,,32.0,524.0,41.0
2013B,550026,F,North Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-72.0,,18.0,94.0,47.0,88.0,95.0,94.0,,,,,207.0,93.0,207.0,95.0,207.0,79.0,208.0,92.0,208.0,81.0,222.0,85.0,222.0,79.0,0.0,0.0,,39.0,0.0,154.0,,,471.0,8.0,1.0,1.0,0.0,502.0,,13.0,111.0,7.0
2013B,550095,M,South East Region,Lower Than A Level,50-60%,0-35,0,60,N,Fail,-16.0,,19.0,38.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,37.0,0.0,47.0,,,59.0,0.0,0.0,5.0,0.0,7.0,,7.0,35.0,1.0
2013B,550123,M,West Midlands Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-58.0,,9.0,94.0,38.0,82.0,86.0,73.0,130.0,87.0,164.0,81.0,11.0,79.0,21.0,86.0,82.0,86.0,102.0,83.0,164.0,58.0,164.0,57.0,164.0,64.0,0.0,3.0,,501.0,0.0,430.0,,,1871.0,19.0,44.0,15.0,17.0,737.0,,57.0,416.0,12.0
2013B,550246,M,South East Region,Lower Than A Level,80-90%,35-55,0,120,N,Withdrawn,-21.0,86.0,19.0,72.0,53.0,72.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,58.0,0.0,67.0,,,169.0,2.0,2.0,12.0,0.0,0.0,,17.0,63.0,9.0
2013B,550272,M,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-36.0,,19.0,82.0,46.0,86.0,89.0,91.0,131.0,90.0,166.0,95.0,98.0,85.0,136.0,93.0,222.0,58.0,213.0,83.0,220.0,69.0,220.0,81.0,220.0,62.0,0.0,1.0,,93.0,3.0,331.0,,,1095.0,0.0,2.0,8.0,0.0,767.0,,33.0,251.0,27.0
2013B,550287,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-46.0,,16.0,84.0,46.0,92.0,87.0,80.0,129.0,75.0,165.0,78.0,17.0,89.0,35.0,88.0,80.0,81.0,131.0,81.0,166.0,83.0,209.0,76.0,185.0,79.0,24.0,7.0,,460.0,4.0,502.0,,,1531.0,15.0,48.0,24.0,45.0,841.0,,60.0,339.0,47.0
2013B,550377,M,Ireland,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,-42.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,195.0,0.0,171.0,,,97.0,3.0,7.0,12.0,0.0,37.0,,9.0,84.0,22.0
2013B,550435,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail,-21.0,,19.0,76.0,47.0,52.0,100.0,49.0,131.0,54.0,222.0,,224.0,74.0,224.0,41.0,224.0,42.0,,,,,,,,,0.0,0.0,,190.0,0.0,314.0,,,672.0,19.0,3.0,15.0,0.0,334.0,,36.0,272.0,11.0
2013B,550470,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction,-53.0,,18.0,90.0,37.0,92.0,86.0,78.0,123.0,82.0,161.0,90.0,21.0,84.0,30.0,88.0,69.0,73.0,101.0,77.0,143.0,74.0,158.0,67.0,185.0,65.0,14.0,13.0,,1079.0,0.0,684.0,,,1480.0,18.0,51.0,32.0,24.0,1235.0,,66.0,580.0,72.0
2013B,550495,M,West Midlands Region,Lower Than A Level,70-80%,35-55,0,60,N,Distinction,-58.0,,17.0,94.0,45.0,96.0,88.0,90.0,128.0,87.0,165.0,98.0,25.0,93.0,23.0,98.0,82.0,86.0,104.0,77.0,145.0,82.0,194.0,84.0,200.0,80.0,31.0,23.0,,740.0,0.0,663.0,,,1779.0,10.0,99.0,22.0,22.0,1372.0,,82.0,463.0,38.0
2013B,550610,M,Wales,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,-55.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,2.0,,,12.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.0,0.0
2013B,550617,M,South West Region,A Level or Equivalent,20-30%,0-35,0,120,Y,Fail,-52.0,,18.0,72.0,47.0,80.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,53.0,0.0,38.0,,,62.0,6.0,2.0,1.0,0.0,1.0,,5.0,42.0,6.0
2013B,550651,M,London Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-52.0,,18.0,90.0,44.0,84.0,89.0,84.0,138.0,82.0,,,184.0,82.0,189.0,74.0,189.0,73.0,189.0,68.0,189.0,73.0,189.0,59.0,189.0,72.0,3.0,13.0,,286.0,0.0,423.0,,,1419.0,5.0,45.0,7.0,9.0,595.0,,43.0,326.0,18.0
2013B,550736,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-25.0,,14.0,72.0,44.0,70.0,86.0,58.0,126.0,63.0,165.0,69.0,30.0,94.0,34.0,84.0,87.0,87.0,104.0,82.0,130.0,80.0,192.0,78.0,178.0,90.0,23.0,5.0,,423.0,0.0,466.0,,,2152.0,15.0,34.0,19.0,42.0,1173.0,,29.0,371.0,31.0
2013B,550763,M,East Anglian Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-42.0,,15.0,90.0,47.0,98.0,90.0,90.0,130.0,92.0,165.0,96.0,3.0,92.0,52.0,84.0,95.0,79.0,112.0,68.0,166.0,56.0,220.0,52.0,207.0,62.0,9.0,12.0,,1400.0,0.0,1093.0,,,2926.0,10.0,34.0,38.0,20.0,831.0,,93.0,651.0,76.0
2013B,550787,F,Ireland,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,-16.0,,18.0,76.0,45.0,72.0,88.0,55.0,131.0,58.0,165.0,29.0,69.0,65.0,20.0,72.0,103.0,46.0,103.0,71.0,166.0,68.0,215.0,57.0,214.0,71.0,10.0,5.0,,279.0,0.0,449.0,,,2093.0,0.0,58.0,13.0,17.0,967.0,,72.0,609.0,27.0
2013B,550792,F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Fail,-11.0,,24.0,0.0,47.0,46.0,98.0,58.0,131.0,38.0,166.0,58.0,37.0,75.0,37.0,61.0,98.0,64.0,122.0,68.0,166.0,62.0,203.0,59.0,182.0,40.0,6.0,12.0,,1044.0,1.0,1138.0,,,4587.0,60.0,96.0,27.0,44.0,961.0,,136.0,1040.0,113.0
2013B,550797,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,-58.0,,18.0,94.0,46.0,90.0,88.0,92.0,134.0,85.0,,,33.0,90.0,179.0,97.0,179.0,83.0,180.0,66.0,180.0,54.0,221.0,72.0,202.0,74.0,0.0,6.0,,342.0,0.0,611.0,,,1408.0,31.0,32.0,20.0,9.0,936.0,,61.0,425.0,66.0
2013B,550802,M,North Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-72.0,,18.0,96.0,48.0,88.0,90.0,91.0,,,,,207.0,89.0,207.0,88.0,207.0,82.0,207.0,85.0,207.0,77.0,215.0,74.0,215.0,70.0,0.0,0.0,,95.0,0.0,182.0,,,753.0,5.0,1.0,9.0,0.0,633.0,,25.0,160.0,14.0
2013B,550813,M,North Region,A Level or Equivalent,,35-55,0,90,N,Pass,-72.0,,18.0,78.0,46.0,68.0,88.0,66.0,129.0,89.0,165.0,79.0,-8.0,88.0,87.0,97.0,90.0,86.0,98.0,96.0,136.0,88.0,164.0,83.0,164.0,83.0,5.0,0.0,,279.0,0.0,168.0,,,522.0,7.0,2.0,6.0,4.0,475.0,,21.0,168.0,14.0
2013B,550853,M,West Midlands Region,Lower Than A Level,20-30%,35-55,0,60,Y,Pass,-36.0,,16.0,90.0,46.0,82.0,99.0,85.0,117.0,90.0,,,7.0,83.0,7.0,83.0,52.0,74.0,98.0,84.0,152.0,80.0,154.0,80.0,153.0,79.0,33.0,0.0,,1855.0,0.0,793.0,,,959.0,78.0,63.0,18.0,24.0,1172.0,,61.0,270.0,72.0
2013B,550866,M,Wales,A Level or Equivalent,20-30%,0-35,0,120,N,Fail,-49.0,,9.0,70.0,47.0,58.0,98.0,62.0,,,,,11.0,91.0,66.0,85.0,,,,,,,,,,,0.0,1.0,,120.0,0.0,214.0,,,396.0,5.0,8.0,7.0,3.0,322.0,,28.0,110.0,26.0
2013B,550909,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,90,N,Fail,-67.0,,16.0,82.0,47.0,60.0,89.0,58.0,,,,,,,,,,,,,,,,,,,0.0,1.0,,162.0,0.0,167.0,,,489.0,7.0,9.0,23.0,6.0,200.0,,19.0,119.0,21.0
2013B,550933,M,North Western Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-58.0,,18.0,94.0,53.0,80.0,89.0,90.0,131.0,85.0,166.0,90.0,178.0,98.0,178.0,89.0,178.0,88.0,178.0,91.0,178.0,80.0,179.0,85.0,179.0,87.0,2.0,1.0,,486.0,0.0,407.0,,,772.0,31.0,1.0,7.0,0.0,1324.0,,33.0,299.0,24.0
2013B,550961,M,London Region,A Level or Equivalent,30-40%,0-35,0,90,N,Fail,-43.0,,18.0,70.0,47.0,90.0,89.0,55.0,131.0,60.0,,,,,,,,,,,,,,,,,0.0,0.0,,76.0,1.0,72.0,,,129.0,0.0,0.0,3.0,0.0,1.0,,15.0,75.0,4.0
2013B,551027,M,London Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-67.0,,16.0,88.0,45.0,98.0,88.0,92.0,130.0,97.0,165.0,81.0,21.0,98.0,221.0,89.0,221.0,86.0,222.0,71.0,222.0,62.0,222.0,71.0,222.0,64.0,4.0,3.0,,390.0,0.0,431.0,,,5539.0,0.0,29.0,13.0,9.0,863.0,,35.0,666.0,26.0
2013B,551052,M,South West Region,A Level or Equivalent,70-80%,0-35,0,90,N,Withdrawn,-52.0,57.0,19.0,82.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,45.0,0.0,55.0,,,99.0,0.0,3.0,4.0,0.0,43.0,,11.0,39.0,6.0
2013B,551058,M,South East Region,HE Qualification,10-20,0-35,0,90,N,Pass,-30.0,,18.0,86.0,46.0,78.0,89.0,59.0,131.0,67.0,166.0,57.0,202.0,72.0,202.0,88.0,202.0,72.0,202.0,62.0,202.0,76.0,202.0,51.0,202.0,81.0,0.0,3.0,,627.0,0.0,703.0,,,2637.0,5.0,10.0,12.0,0.0,1084.0,,61.0,676.0,46.0
2013B,551061,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,-25.0,,38.0,70.0,47.0,60.0,88.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,60.0,0.0,47.0,,,159.0,8.0,0.0,4.0,4.0,1.0,,28.0,74.0,12.0
2013B,551134,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,-58.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,52.0,0.0,53.0,,,42.0,4.0,2.0,9.0,0.0,1.0,,6.0,99.0,27.0
2013B,551137,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn,-55.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,10.0,,,20.0,0.0,0.0,1.0,0.0,0.0,,2.0,10.0,0.0
2013B,551142,M,South Region,Lower Than A Level,30-40%,35-55,0,60,Y,Withdrawn,-50.0,165.0,18.0,66.0,46.0,46.0,,,,,,,41.0,64.0,73.0,64.0,131.0,71.0,,,,,,,,,0.0,0.0,,215.0,0.0,346.0,,,513.0,66.0,13.0,15.0,0.0,546.0,,26.0,207.0,36.0
2013B,551156,M,Yorkshire Region,Lower Than A Level,10-20,0-35,0,90,N,Withdrawn,-46.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2013B,551190,M,London Region,A Level or Equivalent,0-10%,35-55,0,60,N,Fail,-46.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,30.0,0.0,17.0,,,12.0,0.0,0.0,2.0,0.0,2.0,,0.0,7.0,0.0
2013B,551212,M,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction,-36.0,,18.0,100.0,46.0,82.0,88.0,84.0,137.0,86.0,165.0,95.0,52.0,93.0,101.0,92.0,207.0,86.0,214.0,89.0,214.0,89.0,214.0,83.0,215.0,71.0,4.0,3.0,,126.0,0.0,472.0,,,1918.0,7.0,35.0,9.0,9.0,657.0,,52.0,309.0,39.0
2013B,551258,M,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-29.0,,18.0,90.0,46.0,90.0,88.0,92.0,130.0,88.0,165.0,71.0,220.0,88.0,220.0,97.0,220.0,88.0,221.0,81.0,221.0,68.0,222.0,87.0,220.0,83.0,6.0,8.0,,96.0,4.0,217.0,,,1293.0,2.0,30.0,4.0,4.0,750.0,,26.0,307.0,18.0
2013B,551287,M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,-67.0,,17.0,76.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,84.0,0.0,64.0,,,69.0,4.0,0.0,3.0,0.0,11.0,,13.0,49.0,9.0
2013B,551311,M,South Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,-65.0,,17.0,86.0,46.0,86.0,88.0,93.0,130.0,87.0,166.0,92.0,52.0,87.0,52.0,93.0,215.0,87.0,215.0,86.0,215.0,90.0,216.0,87.0,215.0,85.0,0.0,7.0,,240.0,0.0,287.0,,,1405.0,116.0,20.0,19.0,11.0,550.0,,40.0,252.0,32.0
2013B,551397,M,Ireland,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-50.0,,18.0,92.0,45.0,92.0,88.0,82.0,131.0,89.0,166.0,94.0,59.0,100.0,59.0,100.0,95.0,100.0,119.0,100.0,164.0,100.0,207.0,100.0,222.0,86.0,58.0,17.0,,589.0,0.0,916.0,,,2111.0,41.0,37.0,28.0,48.0,2190.0,,106.0,571.0,60.0
2013B,551482,M,East Midlands Region,HE Qualification,70-80%,35-55,0,60,N,Fail,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,11.0,0.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0
2013B,551492,M,North Western Region,Lower Than A Level,0-10%,0-35,0,90,N,Withdrawn,-60.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,551495,M,South West Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,-58.0,,19.0,78.0,47.0,58.0,89.0,48.0,130.0,44.0,169.0,24.0,220.0,78.0,131.0,89.0,223.0,60.0,223.0,63.0,223.0,78.0,223.0,77.0,223.0,67.0,0.0,1.0,,147.0,0.0,89.0,,,548.0,1.0,16.0,7.0,5.0,791.0,,24.0,103.0,6.0
2013B,551528,M,Yorkshire Region,Lower Than A Level,,0-35,0,60,N,Withdrawn,-29.0,88.0,18.0,74.0,47.0,78.0,,,,,,,25.0,72.0,39.0,67.0,,,,,,,,,,,0.0,4.0,,280.0,1.0,439.0,,,479.0,5.0,15.0,18.0,10.0,430.0,,26.0,200.0,31.0
2013B,551583,M,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-9.0,,18.0,86.0,46.0,70.0,88.0,80.0,130.0,71.0,165.0,82.0,213.0,76.0,213.0,90.0,214.0,59.0,214.0,56.0,220.0,66.0,221.0,47.0,220.0,66.0,0.0,0.0,,413.0,0.0,554.0,,,1110.0,22.0,35.0,13.0,8.0,697.0,,27.0,352.0,29.0
2013B,551602,M,North Western Region,Lower Than A Level,50-60%,0-35,0,120,N,Pass,-55.0,,18.0,64.0,46.0,70.0,87.0,59.0,118.0,61.0,164.0,71.0,41.0,78.0,41.0,83.0,87.0,80.0,119.0,78.0,166.0,72.0,193.0,51.0,193.0,56.0,0.0,4.0,,154.0,0.0,500.0,,,943.0,2.0,25.0,5.0,0.0,854.0,,27.0,348.0,32.0
2013B,551688,M,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-58.0,,8.0,50.0,43.0,60.0,88.0,76.0,131.0,70.0,166.0,25.0,6.0,72.0,10.0,85.0,59.0,58.0,97.0,64.0,147.0,66.0,164.0,61.0,164.0,67.0,0.0,0.0,,74.0,0.0,153.0,,,524.0,5.0,1.0,6.0,0.0,636.0,,38.0,247.0,3.0
2013B,551730,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-30.0,,19.0,70.0,47.0,38.0,,,,,,,90.0,62.0,,,,,,,,,,,,,0.0,0.0,,336.0,0.0,97.0,,,195.0,12.0,1.0,8.0,3.0,93.0,,14.0,88.0,10.0
2013B,551764,M,South Region,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn,-64.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,16.0,0.0,24.0,,,25.0,0.0,0.0,3.0,0.0,26.0,,2.0,13.0,0.0
2013B,551791,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-23.0,,18.0,88.0,46.0,70.0,89.0,77.0,137.0,83.0,166.0,72.0,28.0,86.0,144.0,95.0,157.0,77.0,157.0,78.0,,,157.0,83.0,,,0.0,0.0,,219.0,0.0,273.0,,,633.0,0.0,17.0,7.0,0.0,561.0,,28.0,183.0,19.0
2013B,551796,F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-48.0,,12.0,96.0,45.0,88.0,95.0,95.0,129.0,90.0,164.0,89.0,81.0,87.0,123.0,87.0,187.0,63.0,189.0,84.0,213.0,78.0,216.0,68.0,216.0,74.0,6.0,4.0,,479.0,0.0,501.0,,,1185.0,7.0,21.0,19.0,9.0,758.0,,29.0,380.0,32.0
2013B,551805,M,North Western Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,-24.0,,19.0,82.0,46.0,74.0,88.0,76.0,131.0,79.0,165.0,52.0,214.0,89.0,214.0,99.0,215.0,88.0,221.0,90.0,222.0,73.0,222.0,73.0,222.0,77.0,0.0,3.0,,29.0,0.0,199.0,,,674.0,0.0,22.0,7.0,9.0,592.0,,29.0,161.0,15.0
2013B,552041,M,East Anglian Region,No Formal quals,60-70%,0-35,0,90,N,Withdrawn,-55.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,552057,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-36.0,,39.0,90.0,47.0,88.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,90.0,0.0,89.0,,,160.0,0.0,0.0,6.0,0.0,79.0,,7.0,54.0,17.0
2013B,552142,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-29.0,,18.0,100.0,47.0,78.0,97.0,40.0,142.0,31.0,,,209.0,67.0,210.0,59.0,213.0,58.0,216.0,69.0,216.0,62.0,223.0,61.0,223.0,53.0,0.0,0.0,,51.0,0.0,209.0,,,249.0,0.0,2.0,11.0,0.0,722.0,,26.0,122.0,19.0
2013B,552228,M,London Region,Lower Than A Level,40-50%,35-55,0,120,N,Fail,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,552284,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn,-20.0,179.0,15.0,78.0,,,,,,,,,586.0,76.0,,,,,,,,,,,,,0.0,0.0,,33.0,0.0,12.0,,,61.0,0.0,0.0,0.0,0.0,0.0,,8.0,20.0,4.0
2013B,552320,M,Scotland,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-46.0,,23.0,70.0,46.0,76.0,88.0,63.0,130.0,68.0,,,33.0,81.0,63.0,89.0,207.0,73.0,207.0,80.0,207.0,73.0,209.0,72.0,209.0,72.0,0.0,1.0,,179.0,2.0,181.0,,,204.0,2.0,2.0,8.0,4.0,637.0,,29.0,139.0,18.0
2013B,552374,M,South West Region,Lower Than A Level,80-90%,0-35,0,60,Y,Pass,-21.0,,18.0,78.0,46.0,86.0,94.0,74.0,129.0,68.0,163.0,90.0,73.0,76.0,112.0,82.0,115.0,61.0,164.0,62.0,164.0,70.0,217.0,58.0,217.0,68.0,0.0,7.0,,281.0,0.0,188.0,,,1099.0,6.0,2.0,8.0,4.0,721.0,,20.0,150.0,9.0
2013B,552395,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Withdrawn,-60.0,219.0,17.0,82.0,53.0,92.0,88.0,79.0,130.0,84.0,168.0,81.0,14.0,100.0,128.0,66.0,221.0,52.0,221.0,60.0,221.0,58.0,221.0,43.0,221.0,49.0,0.0,0.0,,373.0,3.0,425.0,,,699.0,32.0,2.0,5.0,0.0,966.0,,39.0,246.0,25.0
2013B,552450,M,London Region,Lower Than A Level,0-10%,35-55,0,120,N,Fail,-52.0,,8.0,70.0,45.0,60.0,71.0,49.0,123.0,44.0,152.0,55.0,10.0,94.0,30.0,98.0,52.0,75.0,91.0,86.0,132.0,92.0,161.0,81.0,160.0,72.0,0.0,4.0,,356.0,0.0,414.0,,,973.0,3.0,28.0,7.0,15.0,1394.0,,61.0,392.0,45.0
2013B,552491,F,London Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-53.0,,18.0,76.0,46.0,98.0,89.0,81.0,131.0,75.0,166.0,83.0,213.0,78.0,213.0,85.0,213.0,74.0,213.0,79.0,213.0,73.0,213.0,76.0,213.0,78.0,0.0,11.0,,315.0,0.0,252.0,,,827.0,12.0,12.0,8.0,2.0,894.0,,55.0,345.0,31.0
2013B,552560,M,South Region,HE Qualification,40-50%,0-35,0,120,N,Fail,-58.0,,18.0,66.0,46.0,72.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,43.0,0.0,29.0,,,51.0,0.0,0.0,1.0,0.0,45.0,,6.0,18.0,0.0
2013B,552567,M,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Fail,-59.0,,19.0,60.0,46.0,68.0,88.0,60.0,,,,,182.0,76.0,,,,,,,,,,,,,0.0,0.0,,39.0,0.0,63.0,,,285.0,2.0,2.0,2.0,0.0,149.0,,20.0,88.0,5.0
2013B,552580,M,South Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,-24.0,73.0,18.0,46.0,50.0,44.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,91.0,1.0,27.0,,,159.0,0.0,0.0,4.0,0.0,0.0,,12.0,37.0,2.0
2013B,552614,M,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-58.0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,552648,M,North Western Region,Lower Than A Level,0-10%,0-35,0,90,N,Fail,-58.0,,17.0,90.0,46.0,74.0,91.0,76.0,130.0,82.0,166.0,66.0,199.0,73.0,199.0,87.0,199.0,36.0,199.0,73.0,199.0,54.0,201.0,60.0,200.0,58.0,10.0,4.0,,214.0,0.0,318.0,,,1342.0,1.0,21.0,11.0,0.0,501.0,,29.0,334.0,27.0
