code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,clicks_dataplus,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_resource,clicks_subpage,clicks_url
2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,-33.0,,18.0,64.0,50.0,78.0,113.0,83.0,165.0,75.0,214.0,73.0,8.0,1287.0,0.0,585.0,0.0,1083.0,14.0,143.0,90.0
2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-17.0,187.0,29.0,51.0,,,118.0,35.0,,,,,0.0,7.0,0.0,38.0,0.0,123.0,0.0,18.0,2.0
2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-68.0,,19.0,80.0,54.0,62.0,117.0,72.0,166.0,83.0,215.0,85.0,7.0,118.0,0.0,674.0,0.0,1897.0,35.0,344.0,273.0
2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-108.0,177.0,20.0,70.0,72.0,65.0,119.0,68.0,,,,,0.0,445.0,8.0,389.0,1.0,1026.0,9.0,138.0,0.0
2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-138.0,,18.0,79.0,54.0,82.0,110.0,73.0,164.0,79.0,210.0,83.0,0.0,114.0,0.0,197.0,0.0,770.0,15.0,86.0,1.0
2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,-74.0,,18.0,70.0,58.0,72.0,117.0,74.0,170.0,77.0,215.0,74.0,0.0,36.0,0.0,88.0,0.0,315.0,8.0,39.0,6.0
2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-64.0,,18.0,63.0,52.0,57.0,116.0,65.0,165.0,40.0,209.0,52.0,1.0,25.0,0.0,31.0,0.0,43.0,6.0,23.0,1.0
2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,-50.0,,,,,,,,,,,,0.0,21.0,0.0,16.0,0.0,21.0,0.0,1.0,0.0
2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107.0,,19.0,61.0,63.0,53.0,127.0,72.0,176.0,74.0,215.0,43.0,8.0,265.0,1.0,331.0,0.0,1129.0,18.0,170.0,39.0
2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-8.0,,18.0,55.0,54.0,73.0,118.0,77.0,172.0,70.0,219.0,80.0,1.0,99.0,1.0,130.0,0.0,721.0,14.0,64.0,16.0
2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-52.0,,21.0,69.0,53.0,70.0,116.0,60.0,165.0,70.0,214.0,70.0,0.0,17.0,0.0,101.0,1.0,343.0,1.0,18.0,2.0
2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-96.0,,18.0,78.0,61.0,69.0,117.0,75.0,166.0,58.0,215.0,72.0,8.0,64.0,0.0,356.0,1.0,962.0,12.0,235.0,102.0
2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-141.0,,18.0,75.0,53.0,74.0,116.0,76.0,165.0,80.0,215.0,70.0,0.0,68.0,0.0,93.0,0.0,132.0,294.0,54.0,11.0
2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-132.0,,18.0,85.0,60.0,84.0,116.0,85.0,165.0,86.0,215.0,78.0,14.0,2362.0,12.0,885.0,1.0,1510.0,27.0,275.0,145.0
2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,-162.0,-121.0,,,,,,,,,,,,,,,,,,,
2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-27.0,,,,54.0,55.0,125.0,53.0,174.0,38.0,215.0,41.0,0.0,43.0,0.0,59.0,0.0,33.0,9.0,38.0,5.0
2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-80.0,,16.0,72.0,50.0,82.0,114.0,78.0,163.0,82.0,210.0,77.0,3.0,258.0,0.0,443.0,1.0,983.0,32.0,52.0,3.0
2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-145.0,,18.0,61.0,53.0,53.0,116.0,54.0,164.0,53.0,213.0,43.0,5.0,5.0,0.0,214.0,0.0,551.0,1.0,54.0,35.0
2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,-17.0,,18.0,38.0,53.0,52.0,115.0,52.0,164.0,54.0,220.0,55.0,0.0,109.0,0.0,217.0,0.0,257.0,21.0,87.0,18.0
2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,-115.0,,18.0,91.0,52.0,95.0,114.0,94.0,159.0,88.0,214.0,66.0,14.0,322.0,1.0,363.0,3.0,1387.0,27.0,30.0,5.0
2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,-32.0,,19.0,77.0,68.0,70.0,117.0,85.0,165.0,85.0,215.0,87.0,3.0,30.0,0.0,127.0,0.0,244.0,30.0,62.0,18.0
2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-59.0,,20.0,82.0,48.0,80.0,100.0,79.0,152.0,76.0,208.0,77.0,0.0,772.0,0.0,382.0,0.0,573.0,11.0,200.0,59.0
2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-83.0,,18.0,58.0,59.0,59.0,117.0,59.0,,,,,11.0,100.0,0.0,101.0,0.0,216.0,11.0,70.0,4.0
2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,-18.0,,19.0,64.0,,,,,,,,,0.0,37.0,0.0,40.0,0.0,53.0,1.0,15.0,0.0
2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,-66.0,,19.0,75.0,54.0,76.0,117.0,83.0,166.0,80.0,215.0,76.0,2.0,24.0,0.0,234.0,0.0,957.0,16.0,40.0,4.0
2013J,305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,-54.0,-3.0,,,,,,,,,,,0.0,14.0,0.0,22.0,0.0,24.0,1.0,6.0,1.0
2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,-107.0,,18.0,73.0,54.0,46.0,116.0,62.0,166.0,70.0,215.0,40.0,0.0,14.0,0.0,267.0,0.0,527.0,12.0,118.0,49.0
2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-58.0,,7.0,81.0,53.0,78.0,116.0,88.0,165.0,76.0,215.0,87.0,9.0,163.0,1.0,253.0,1.0,744.0,14.0,31.0,4.0
2013J,306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-123.0,,16.0,72.0,50.0,73.0,116.0,74.0,173.0,39.0,214.0,55.0,0.0,1579.0,0.0,749.0,0.0,304.0,25.0,75.0,10.0
2013J,307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass,-31.0,,19.0,82.0,54.0,76.0,117.0,83.0,166.0,82.0,215.0,83.0,0.0,157.0,0.0,223.0,0.0,474.0,26.0,119.0,82.0
2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-107.0,,19.0,47.0,54.0,52.0,117.0,73.0,173.0,68.0,,,0.0,235.0,0.0,337.0,1.0,765.0,8.0,110.0,20.0
2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,-121.0,,18.0,55.0,51.0,46.0,114.0,61.0,166.0,67.0,223.0,67.0,11.0,142.0,0.0,434.0,0.0,1305.0,22.0,212.0,104.0
2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,-79.0,,19.0,88.0,54.0,90.0,114.0,88.0,163.0,85.0,213.0,88.0,12.0,5774.0,0.0,4747.0,3.0,1911.0,50.0,244.0,141.0
2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-59.0,,18.0,89.0,53.0,54.0,116.0,60.0,165.0,50.0,215.0,56.0,0.0,51.0,0.0,146.0,0.0,33.0,17.0,33.0,1.0
2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,-100.0,,16.0,70.0,53.0,63.0,102.0,62.0,156.0,68.0,204.0,70.0,0.0,179.0,0.0,485.0,0.0,485.0,30.0,95.0,7.0
2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-47.0,,26.0,77.0,54.0,75.0,117.0,81.0,166.0,80.0,215.0,79.0,8.0,3652.0,1.0,954.0,1.0,1417.0,100.0,343.0,113.0
2013J,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-67.0,,17.0,82.0,53.0,80.0,116.0,80.0,161.0,80.0,210.0,80.0,14.0,5539.0,0.0,2066.0,2.0,1880.0,20.0,342.0,220.0
2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,-32.0,,19.0,85.0,53.0,69.0,117.0,80.0,165.0,85.0,214.0,83.0,10.0,159.0,0.0,335.0,0.0,1090.0,19.0,188.0,100.0
2013J,324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-165.0,,16.0,58.0,59.0,35.0,114.0,66.0,166.0,72.0,213.0,57.0,15.0,351.0,0.0,468.0,0.0,1087.0,13.0,27.0,0.0
2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-32.0,,18.0,38.0,53.0,58.0,117.0,64.0,166.0,74.0,213.0,72.0,0.0,25.0,0.0,56.0,0.0,33.0,2.0,16.0,1.0
2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,-67.0,53.0,18.0,84.0,,,,,,,,,11.0,857.0,1.0,354.0,2.0,987.0,75.0,78.0,11.0
2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-64.0,,18.0,69.0,54.0,77.0,117.0,72.0,165.0,78.0,215.0,76.0,3.0,827.0,0.0,238.0,2.0,466.0,15.0,75.0,29.0
2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-103.0,,19.0,72.0,54.0,70.0,117.0,73.0,166.0,74.0,214.0,40.0,0.0,5.0,1.0,70.0,0.0,168.0,9.0,44.0,4.0
2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,-53.0,,19.0,77.0,54.0,78.0,117.0,71.0,166.0,71.0,215.0,75.0,0.0,142.0,0.0,136.0,0.0,301.0,11.0,50.0,8.0
2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,-32.0,,19.0,57.0,,,118.0,49.0,,,,,0.0,74.0,0.0,91.0,0.0,126.0,6.0,34.0,1.0
2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,-192.0,65.0,18.0,36.0,,,,,,,,,0.0,104.0,0.0,97.0,0.0,67.0,8.0,21.0,6.0
2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-196.0,160.0,19.0,86.0,59.0,87.0,117.0,86.0,,,,,0.0,1124.0,0.0,572.0,0.0,430.0,5.0,100.0,55.0
2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-110.0,,17.0,71.0,51.0,67.0,115.0,65.0,163.0,75.0,215.0,63.0,20.0,130.0,0.0,275.0,0.0,763.0,6.0,111.0,11.0
2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-57.0,,16.0,68.0,52.0,44.0,115.0,52.0,165.0,37.0,221.0,48.0,0.0,2.0,0.0,72.0,0.0,195.0,4.0,49.0,11.0
2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,48.0,,58.0,64.0,92.0,64.0,114.0,63.0,172.0,70.0,215.0,60.0,0.0,25.0,0.0,71.0,0.0,54.0,6.0,42.0,3.0
2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,-71.0,51.0,20.0,75.0,,,,,,,,,0.0,119.0,0.0,231.0,0.0,391.0,14.0,86.0,39.0
2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,-81.0,,12.0,68.0,51.0,74.0,107.0,79.0,150.0,85.0,201.0,80.0,6.0,143.0,0.0,283.0,0.0,1263.0,9.0,157.0,89.0
2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-60.0,,14.0,62.0,58.0,57.0,112.0,53.0,164.0,57.0,213.0,73.0,0.0,195.0,1.0,245.0,1.0,259.0,9.0,91.0,37.0
2013J,343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,-49.0,,19.0,74.0,59.0,77.0,117.0,78.0,173.0,77.0,215.0,86.0,3.0,1650.0,0.0,725.0,0.0,1082.0,28.0,125.0,31.0
2013J,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-12.0,,18.0,61.0,53.0,53.0,116.0,47.0,165.0,42.0,214.0,43.0,0.0,0.0,0.0,19.0,0.0,23.0,3.0,20.0,0.0
2013J,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,-37.0,,19.0,70.0,61.0,75.0,117.0,80.0,166.0,80.0,216.0,85.0,4.0,6.0,0.0,81.0,0.0,371.0,6.0,74.0,5.0
2013J,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,-18.0,,16.0,75.0,53.0,70.0,111.0,81.0,164.0,85.0,215.0,91.0,8.0,343.0,0.0,413.0,0.0,1227.0,6.0,137.0,85.0
2013J,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,-75.0,,19.0,85.0,52.0,75.0,117.0,82.0,165.0,85.0,213.0,85.0,0.0,138.0,0.0,222.0,0.0,132.0,10.0,64.0,3.0
2013J,346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,-44.0,,,,,,,,,,,,0.0,5.0,0.0,28.0,0.0,113.0,0.0,15.0,3.0
2013J,350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-49.0,,19.0,75.0,54.0,75.0,117.0,76.0,166.0,72.0,215.0,71.0,5.0,66.0,0.0,161.0,0.0,393.0,34.0,97.0,5.0
2013J,354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,-32.0,5.0,,,,,,,,,,,0.0,6.0,0.0,32.0,0.0,142.0,5.0,12.0,1.0
2013J,357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-38.0,,19.0,49.0,54.0,63.0,117.0,59.0,,,,,0.0,7.0,2.0,61.0,0.0,45.0,8.0,38.0,5.0
2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-129.0,,15.0,64.0,53.0,65.0,117.0,75.0,161.0,72.0,,,0.0,1.0,0.0,140.0,0.0,579.0,5.0,58.0,38.0
2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,-38.0,,19.0,64.0,54.0,53.0,117.0,59.0,166.0,50.0,215.0,56.0,7.0,250.0,0.0,130.0,0.0,396.0,11.0,68.0,29.0
2013J,365642,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-52.0,,15.0,68.0,53.0,63.0,115.0,77.0,165.0,70.0,214.0,72.0,5.0,472.0,1.0,719.0,0.0,748.0,31.0,121.0,32.0
2013J,366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,-4.0,,18.0,88.0,52.0,70.0,114.0,82.0,162.0,54.0,214.0,90.0,19.0,13.0,0.0,401.0,0.0,832.0,3.0,119.0,78.0
2013J,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,-123.0,,19.0,54.0,69.0,49.0,117.0,58.0,177.0,50.0,215.0,41.0,0.0,58.0,0.0,95.0,0.0,193.0,31.0,55.0,5.0
2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,-60.0,,18.0,61.0,53.0,68.0,116.0,68.0,165.0,39.0,215.0,42.0,0.0,88.0,0.0,64.0,0.0,66.0,13.0,50.0,11.0
2013J,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,-19.0,,20.0,58.0,53.0,59.0,94.0,73.0,164.0,74.0,213.0,68.0,1.0,43.0,2.0,121.0,0.0,408.0,11.0,76.0,15.0
2013J,376439,M,North Region,HE Qualification,,0-35,0,60,N,Distinction,-87.0,,19.0,86.0,54.0,77.0,133.0,89.0,166.0,94.0,215.0,89.0,0.0,1037.0,1.0,660.0,0.0,465.0,18.0,112.0,49.0
2013J,376581,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-64.0,,18.0,86.0,61.0,60.0,116.0,62.0,171.0,68.0,215.0,88.0,16.0,208.0,0.0,483.0,0.0,1322.0,14.0,179.0,111.0
2013J,380953,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-155.0,,17.0,73.0,53.0,58.0,115.0,68.0,162.0,75.0,214.0,65.0,0.0,60.0,0.0,282.0,1.0,637.0,13.0,66.0,3.0
2013J,383254,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-61.0,,18.0,74.0,51.0,69.0,116.0,85.0,180.0,69.0,214.0,81.0,0.0,19.0,0.0,147.0,0.0,248.0,4.0,88.0,37.0
2013J,386924,M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass,-192.0,,26.0,59.0,53.0,65.0,117.0,80.0,166.0,65.0,216.0,70.0,0.0,9.0,0.0,67.0,0.0,46.0,5.0,28.0,9.0
2013J,386952,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-38.0,,19.0,67.0,57.0,63.0,116.0,71.0,173.0,64.0,215.0,75.0,0.0,66.0,0.0,328.0,0.0,429.0,12.0,71.0,4.0
2013J,388722,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-179.0,,21.0,65.0,53.0,54.0,128.0,70.0,165.0,66.0,214.0,64.0,0.0,224.0,0.0,174.0,0.0,200.0,13.0,52.0,8.0
2013J,388885,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-185.0,,19.0,51.0,54.0,75.0,116.0,54.0,158.0,59.0,215.0,64.0,0.0,167.0,0.0,182.0,0.0,445.0,13.0,58.0,10.0
2013J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,-31.0,202.0,19.0,75.0,57.0,80.0,118.0,54.0,,,,,3.0,104.0,0.0,161.0,0.0,271.0,17.0,61.0,22.0
2013J,392756,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,-58.0,,19.0,53.0,54.0,25.0,117.0,55.0,166.0,54.0,215.0,38.0,0.0,51.0,0.0,112.0,0.0,171.0,8.0,20.0,1.0
2013J,392931,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,-54.0,,29.0,65.0,54.0,63.0,127.0,75.0,166.0,67.0,216.0,72.0,7.0,1228.0,0.0,692.0,0.0,898.0,24.0,129.0,25.0
2013J,393207,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-38.0,,18.0,68.0,53.0,74.0,116.0,75.0,165.0,80.0,214.0,74.0,0.0,119.0,0.0,179.0,2.0,465.0,10.0,98.0,3.0
2013J,396872,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,Pass,-23.0,,19.0,63.0,54.0,62.0,125.0,68.0,173.0,54.0,215.0,60.0,3.0,82.0,0.0,281.0,0.0,517.0,19.0,92.0,2.0
2013J,398552,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,Fail,-57.0,,17.0,54.0,54.0,49.0,117.0,47.0,165.0,42.0,215.0,40.0,13.0,61.0,0.0,300.0,0.0,713.0,12.0,81.0,3.0
2013J,401869,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-53.0,,19.0,55.0,54.0,62.0,125.0,65.0,172.0,68.0,215.0,75.0,0.0,180.0,2.0,240.0,0.0,392.0,19.0,89.0,33.0
2013J,402470,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-130.0,,16.0,80.0,53.0,74.0,114.0,80.0,164.0,68.0,213.0,61.0,0.0,74.0,1.0,343.0,0.0,887.0,7.0,78.0,55.0
2013J,404804,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,Pass,-129.0,,18.0,52.0,50.0,45.0,107.0,52.0,161.0,40.0,194.0,30.0,0.0,23.0,0.0,95.0,0.0,260.0,19.0,106.0,6.0
2013J,405088,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-67.0,,19.0,85.0,54.0,72.0,124.0,71.0,166.0,72.0,214.0,86.0,0.0,316.0,0.0,353.0,0.0,556.0,18.0,104.0,41.0
2013J,405961,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,Withdrawn,-170.0,-100.0,,,,,,,,,,,,,,,,,,,
2013J,414117,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,-73.0,,18.0,81.0,54.0,72.0,124.0,70.0,166.0,82.0,222.0,77.0,0.0,44.0,0.0,220.0,0.0,469.0,14.0,57.0,3.0
2013J,415969,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,Withdrawn,-60.0,172.0,20.0,67.0,60.0,52.0,124.0,60.0,,,,,12.0,297.0,0.0,291.0,4.0,597.0,25.0,99.0,34.0
2013J,420087,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,-15.0,,20.0,80.0,55.0,76.0,124.0,72.0,,,,,0.0,60.0,1.0,67.0,1.0,161.0,7.0,42.0,3.0
2013J,429958,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-58.0,,19.0,59.0,54.0,56.0,117.0,59.0,166.0,60.0,215.0,58.0,0.0,41.0,0.0,63.0,0.0,270.0,8.0,28.0,1.0
2013J,441018,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,Pass,-52.0,,18.0,54.0,53.0,60.0,116.0,54.0,166.0,65.0,215.0,66.0,0.0,247.0,4.0,108.0,0.0,234.0,12.0,36.0,5.0
2013J,441888,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-53.0,,20.0,74.0,53.0,64.0,117.0,70.0,166.0,77.0,214.0,68.0,0.0,135.0,0.0,171.0,0.0,348.0,15.0,58.0,12.0
2013J,442442,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn,-32.0,119.0,19.0,39.0,54.0,42.0,,,,,,,1.0,351.0,0.0,217.0,0.0,356.0,13.0,50.0,21.0
2013J,444677,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Distinction,-38.0,,19.0,91.0,54.0,89.0,117.0,85.0,166.0,89.0,215.0,84.0,12.0,160.0,0.0,289.0,0.0,702.0,2.0,52.0,24.0
2013J,470588,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,-43.0,73.0,19.0,86.0,,,,,,,,,0.0,36.0,0.0,67.0,0.0,260.0,3.0,29.0,5.0
2013J,489455,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-120.0,,15.0,74.0,51.0,68.0,113.0,69.0,163.0,74.0,211.0,68.0,0.0,727.0,0.0,710.0,0.0,1004.0,24.0,269.0,98.0
2013J,494424,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,-38.0,,,,,,,,,,,,0.0,12.0,0.0,14.0,0.0,22.0,1.0,9.0,0.0
2013J,495284,M,South East Region,HE Qualification,80-90%,0-35,0,120,N,Pass,-29.0,,18.0,73.0,53.0,59.0,116.0,68.0,173.0,76.0,214.0,57.0,5.0,71.0,0.0,200.0,0.0,585.0,4.0,30.0,6.0
2013J,498857,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-16.0,,19.0,77.0,54.0,68.0,117.0,72.0,166.0,75.0,215.0,73.0,14.0,16.0,0.0,240.0,1.0,655.0,4.0,63.0,5.0
2013J,508818,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,-156.0,,19.0,73.0,54.0,78.0,117.0,81.0,166.0,73.0,215.0,54.0,0.0,554.0,0.0,208.0,0.0,318.0,2.0,47.0,0.0
2013J,512460,M,South East Region,HE Qualification,90-100%,0-35,0,120,N,Pass,-32.0,,19.0,59.0,51.0,78.0,113.0,83.0,173.0,75.0,214.0,67.0,0.0,58.0,0.0,106.0,0.0,284.0,8.0,62.0,3.0
2013J,544103,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,Pass,-127.0,,18.0,82.0,53.0,80.0,117.0,80.0,166.0,81.0,214.0,82.0,0.0,389.0,0.0,610.0,4.0,979.0,16.0,219.0,111.0
2013J,550383,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-51.0,,19.0,77.0,54.0,41.0,117.0,76.0,166.0,79.0,220.0,87.0,3.0,87.0,0.0,172.0,3.0,568.0,5.0,69.0,3.0
2013J,564450,M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,Fail,-43.0,,18.0,64.0,53.0,53.0,114.0,64.0,165.0,63.0,215.0,52.0,0.0,6.0,0.0,63.0,0.0,104.0,8.0,42.0,1.0
2013J,568601,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,-30.0,128.0,19.0,85.0,60.0,78.0,,,,,,,0.0,1.0,0.0,36.0,0.0,419.0,2.0,21.0,9.0
2013J,572652,M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,Pass,-158.0,,19.0,71.0,54.0,73.0,146.0,78.0,166.0,68.0,215.0,76.0,5.0,7.0,0.0,113.0,0.0,605.0,10.0,38.0,2.0
2013J,580389,M,Ireland,HE Qualification,90-100%,0-35,0,120,N,Pass,-22.0,,19.0,75.0,54.0,75.0,117.0,72.0,172.0,68.0,215.0,67.0,1.0,326.0,0.0,341.0,0.0,530.0,12.0,60.0,1.0
2013J,581129,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,-38.0,,,,54.0,15.0,117.0,65.0,,,,,0.0,36.0,0.0,54.0,0.0,77.0,2.0,25.0,0.0
2013J,588775,M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-17.0,,18.0,85.0,52.0,81.0,116.0,81.0,166.0,86.0,213.0,81.0,12.0,3436.0,2.0,1907.0,1.0,1501.0,51.0,150.0,7.0
2013J,591774,M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass,-46.0,,19.0,88.0,54.0,75.0,117.0,80.0,166.0,78.0,215.0,60.0,0.0,216.0,0.0,133.0,0.0,224.0,8.0,21.0,3.0
2013J,603861,M,North Region,HE Qualification,,55<=,0,60,N,Withdrawn,-38.0,241.0,19.0,61.0,59.0,56.0,117.0,58.0,174.0,69.0,222.0,71.0,3.0,7.0,0.0,145.0,0.0,744.0,7.0,44.0,5.0
2013J,606143,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail,-43.0,,19.0,78.0,54.0,54.0,,,,,,,0.0,65.0,0.0,80.0,0.0,232.0,3.0,23.0,3.0
